"Eff_Date","Course_ID","Offer_Nbr","Contact_Hours_YN","Contact_Hours","Restriction_YN","Restriction","Avail_NAWD","Quota_YN","Quota","Pre-Requisite_YN","Pre-Requisite","Co-Requisite_YN","Co-Requisite","Assumed_Knowl_YN","Assumed_Knowl","Incompatible_YN","Incompatible","Assessment_YN","Assessment","Biennial_Course_YN","Biennial_Course"
"01/01/2017","002094","1","Y","Up to 2 hours per week, plus a 4 day field camp","Y","Available to BSc(Adv) students only","Y","N","","N","","N","","Y","6 units of Level II Environmental Biology courses or equivalent","Y","ENV BIOL 3500","Y","Take-home exam, field trip report, final exam","N",""
"01/01/2017","002110","1","Y","Up to 4 hours per week","N","","Y","N","","Y","GERM 1002 or equivalent","N","","N","","Y","Not available to students who obtained B or higher in SACE Stage 2 German or equivalent","Y","Regular assessments, tests, end of semester test, oral exam","N",""
"01/01/2017","002126","1","Y","Up to 5 hours per week","N","","Y","N","","Y","CHIN 1001 or equivalent","N","","N","","N","","Y","assignments, tests, oral tests, mid-term test and final exams","N",""
"01/01/2017","002129","1","Y","Up to 5 hours per week, plus fieldwork","N","","Y","N","","N","","N","","Y","ENV BIOL 2503 or equivalent","Y","ENV BIOL 3023","Y","Exams, practical & project assignments","N",""
"01/01/2017","002137","1","Y","Up to 5 hours per week","Y","Available to BE(Mechanical & Aerospace), BE(Mechanical & Automotive), BE(Computational), BE(Mechanical), BE(Mechatronic), BE(Mechanical & Sports), BE(Mechanical & Sustainable Energy) and associated double and combined degree students only","Y","N","","N","","N","","Y","MECH ENG 1007 & C&ENVENG 1010","N","","Y","Assignments, quizzes, finite element labs, laboratory experiments, exam","N",""
"01/01/2017","002183","1","N","","Y","Available only to students admitted to a relevant Honours program","N","N","","Y","At least 6 units at Level III in each of Pure Mathematics and Statistics at credit standard or above.","N","","N","","N","","Y","exams, research project, research seminar","N",""
"01/01/2017","002190","1","N","","Y","Available to B Sc Dent (Hons) students only","N","N","","N","","N","","N","","N","","N","","N",""
"01/01/2017","002193","1","Y","Up to 2 hours per week","N","","Y","N","","N","","N","","Y","Java, program design, discrete Mathematics","Y","COMP SCI 7009","Y","Exam and/or assignments","N",""
"01/01/2017","002255","1","Y","Up to 2 hours per week","N","","Y","N","","N","","N","","N","","N","","Y","Examination, assignments","N",""
"01/01/2017","002314","2","Y","Up to 3 hours per week","N","","Y","N","","Y","MATHS 1012","N","","Y","Knowledge of linear programming such as would be obtained from APP MTH 2105 and basic computer programming skills such as would be obtained from COMP SCI 1012, 1101, MECH ENG 1100, 1102, 1103, 1104, 1105, C&ENVENG 1012","N","","Y","Ongoing assessment 30%, exam 70%","N",""
"01/01/2017","002328","1","Y","Up to 2.5 hours per week","N","","Y","N","","Y","One of COMP SCI 1007, COMP SCI 1009, COMP SCI 1103, COMP SCI 1203, COMP SCI 2103 or COMP SCI 2202","N","","N","","N","","Y","written exam, assignments","N",""
"01/01/2017","002328","3","N","","N","","Y","N","","N","","N","","N","","N","","N","","N",""
"01/01/2017","002328","4","N","","Y","Enrolment must be approved by Course Coordinator","N","N","","Y","One of COMP SCI 1007, COMP SCI 1009, COMP SCI 1103, COMP SCI 1203, COMP SCI 2103 OR COMP SCI 2202","N","","N","","N","","Y","Written Exam, assignments","N",""
"01/01/2017","002365","1","Y","Up to 3 hours per week","Y","Available to Certificate, Graduate Diploma and Master of Business Administration students only - other students must first meet with program director for enrolment approval","N","N","","N","","N","","N","","N","","Y","Exam/assignments/tests/tutorial work as prescribed at first lecture","N",""
"01/01/2017","002365","2","N","","N","","N","N","","N","","N","","N","","N","","Y","Exam/assignments/tests/tutorial work as prescribed at first lecture","N",""
"01/01/2017","002379","1","Y","Up to 5 hours per week","N","","N","N","","Y","Completed degree in Science, Agricultural Science or Environmental Science","N","","N","","N","","N","","N",""
"01/01/2017","002419","1","Y","Up to 4 hours per week","Y","Available to MFin&BusEc, MHealthEcPol, GCertEc, GCertIntEc, GDipIntEc, GDipAppEc & MAppEc students only","N","N","","N","","N","","Y","Introductory level microeconomics","N","","Y","Typically assignments, mid-semester exam, participation & final exam","N",""
"01/01/2017","002427","1","N","","N","","N","N","","N","","N","","N","","N","","N","","N",""
"01/01/2017","002493","1","N","","Y","Available only to students admitted to the relevant Honours program","N","N","","N","","N","","N","","N","","N","","N",""
"01/01/2017","002520","1","Y","Up to 5 hours per week","N","","Y","N","","N","","N","","N","","Y","Not available to students who obtained B- or higher in SACE Stage 2 French or equivalent","Y","regular assignments, tests, written exam","N",""
"01/01/2017","002580","1","Y","Up to 6 hours per week","Y","Available for B Viticulture & Oenology students only","N","N","","Y","OENOLOGY 2503WT","N","","N","","N","","Y","Practical reports, practical notebook, online quiz, exam","N",""
"01/01/2017","002580","3","Y","Up to 6 hours per week","Y","Available to UWA students only","N","N","","Y","OENOLOGY 2024WA","N","","N","","N","","Y","Practicals, reports, written assignments, exam","N",""
"01/01/2017","002589","1","N","","N","","N","N","","Y","MANAGEMT 7044","N","","N","","N","","Y","Exam/assignments/tests/tutorial work as prescribed at first lecture","N",""
"01/01/2017","002589","2","N","","N","","N","N","","Y","MANAGEMT 7044NA","N","","N","","N","","Y","Exam/assignments/tests/tutorial work as prescribed at first lecture","N",""
"01/01/2017","002599","1","Y","Up to 14 hours per week","N","","Y","N","","Y","BIOCHEM 2500 & BIOCHEM 2501 or BIOCHEM 2504 & BIOCHEM 2505 or BIOCHEM 2502","N","","N","","N","","Y","Exam on lecture material, practical reports and online assessments","N",""
"01/01/2017","002618","1","Y","Up to 5 hours per week","Y","Not available to Honours students","Y","N","","N","","N","","N","","Y","Not available to Honours students","Y","Practical exams, Practice, and class exercises","N",""
"01/01/2017","002651","1","Y","Up to 2 hours per week","N","","Y","N","","N","","N","","N","","N","","Y","exam and/or assignments","N",""
"01/01/2017","002684","1","N","","N","","N","N","","N","","N","","N","","N","","Y","Ongoing assessment 30%, exam 70%","N",""
"01/01/2017","002695","1","N","","N","","Y","N","","N","","N","","N","","N","","N","","N",""
"01/01/2017","002747","1","Y","Up to 3 hours per week","Y","Available to MHealthEc&Policy, MFin&BusEc, MGlobalFoodAgricBus, GCertAppEc, GCertIntEc, GDipIntEc, GDipAppEc, MAppEc, students only","N","N","","N","","N","","Y","ECON 7011 or C&ENVENG 1008","N","","Y","Typically a project, tutorial assignments & final exam","N",""
"01/01/2017","002775","1","N","","N","","Y","N","","N","","N","","N","","N","","Y","exam and/or assignments","N",""
"01/01/2017","002854","1","Y","By supervision","N","","N","N","","N","","N","","N","","N","","Y","To be advised","N",""
"01/01/2017","002909","1","Y","Up to 4 hours per week","N","","Y","N","","Y","No assumed knowledge of Japanese is required.  This course is for (total) beginners with little or no previous knowledge of Japanese.","N","","N","","N","","Y","continuous assessment, exam(s)","N",""
"01/01/2017","002934","1","Y","Up to 3 hours per week","N","","Y","N","","N","","N","","N","","N","","Y","Essays, tutorial work","N",""
"01/01/2017","003004","1","Y","By supervision","N","","N","N","","N","","N","","N","","N","","Y","To be advised","N",""
"01/01/2017","003004","2","Y","By supervision","Y","Students may be required to take certain subjects in preparation for the project.","N","N","","N","","N","","N","","N","","Y","To be advised","N",""
"01/01/2017","003019","1","N","","Y","Available only to students admitted to a relevant Honours program","N","N","","Y","At least 12 units of Level III Mathematical Sciences courses at credit standard or above.","N","","N","","N","","Y","exams, research project, research seminar","N",""
"01/01/2017","003127","1","Y","Up to 4 hours per week","Y","Available to BE(Civil & Struct), BE (Honours) (Civil & Environmental), BE(Architectural) & associated double degree students only","Y","N","","Y","C&ENVENG 2069","N","","N","","N","","Y","exams 60%, coursework 40%","N",""
"01/01/2017","003152","1","N","","Y","Available only to students admitted to a relevant Honours program","N","N","","Y","At least 12 units of Level III Mathematical Sciences courses at credit standard or above, of which at least 9 units must be from the Applied Mathematics Courses","N","","N","","N","","Y","exams, research project, research seminar","N",""
"01/01/2017","003181","1","Y","Online - Internal mode depending on numbers","Y","Available to Grad Cert, Grad Dip, MPH students only","N","N","","N","","N","","N","","N","","Y","Assignments","N",""
"01/01/2017","003192","1","N","","N","","N","N","","N","","N","","N","","N","","N","","N",""
"01/01/2017","003223","1","Y","2 x 1.5 hour rehearsals and 1 x 1 hour Performance Forum per week","N","","N","N","","N","","N","","N","","N","","Y","attendance and participation 20%; workbook 10%,continuous assessment of rehearsals 35% performance workshops /performance Forum/ public performances / performance projects / tours, as determined and approved by the Department 35%","N",""
"01/01/2017","003240","1","N","","Y","Available to GradCertNursSc students only","N","N","","N","","N","","N","","N","","N","","N",""
"01/01/2017","003241","1","Y","Weekly lectures, CBL sessions & resource sessions","Y","Available to MBBS students only","N","N","","Y","Year 1 MBBS Exam","N","","N","","N","","Y","Details provided at start of year","N",""
"01/01/2017","003246","1","Y","Up to 3 hours per week","N","","Y","N","","Y","MATHS 2100","N","","N","","N","","Y","ongoing assessment 30%, exams 70%","N",""
"01/01/2017","003249","1","Y","Weekly lectures, CBL sessions & resource sessions","Y","Available to MBBS students only","N","N","","Y","Year 1 MBBS Exam","N","","N","","N","","Y","Details provided at start of year","N",""
"01/01/2017","003253","1","Y","Weekly lectures, CBL sessions & resource sessions","Y","Available to MBBS students only","N","N","","Y","Year 1 MBBS Exam","N","","N","","N","","Y","Details provided at start of year","N",""
"01/01/2017","003280","1","N","","N","","Y","N","","N","","N","","N","","N","","Y","Exams and/or Assignments","N",""
"01/01/2017","003283","1","Y","Up to 6 hours per week","Y","Available to B Agricultural Sciences, B Viticulture & Oenology students only","N","N","","N","","N","","N","","Y","GEOLOGY 1103","Y","Practical exercises, quizzes, exam","N",""
"01/01/2017","003288","1","Y","Up to 4 hours per week","N","","Y","N","","N","","N","","N","","N","","Y","Online test, written assignment, Diet Quality Assessment, final examination","N",""
"01/01/2017","003288","2","Y","Up to 3 hours per week","N","","Y","N","","N","","N","","N","","N","","Y","Online test, written assignment, practical report, diet diary, final examination","N",""
"01/01/2017","003334","1","N","","N","","N","N","","N","","N","","N","","N","","N","","N",""
"01/01/2017","003401","1","Y","Up to 3 hours per week","N","","Y","N","","Y","MATHS 1012","N","","N","","N","","Y","ongoing assessment 30%, exam 70%","N",""
"01/01/2017","003498","1","N","","Y","Available to MA(AppLing) students only","N","N","","N","","N","","N","","N","","Y","18000 word dissertation","N",""
"01/01/2017","003522","1","Y","By supervision","N","","N","N","","N","","N","","N","","N","","Y","To be advised","N",""
"01/01/2017","003522","2","Y","By supervision","Y","Students may be required to take certain subjects in preparation for the project.","N","N","","N","","N","","N","","N","","Y","To be advised","N",""
"01/01/2017","003552","1","Y","Up to 1 hour per week","Y","Aboriginal and Torres Strait Islander students only","N","N","","Y","MUSIC 1024 A/B","N","","N","","N","","Y","attendance 10%, class activities/tasks 10%, class tests 40%, exam 40%","N",""
"01/01/2017","003564","1","N","","N","","N","N","","N","","N","","N","","N","","Y","Exam/assignments/tests/tutorial work as prescribed at first lecture","N",""
"01/01/2017","003564","2","N","","N","","N","N","","N","","N","","N","","N","","Y","Exam/assignments/tests/tutorial work as prescribed at first lecture","N",""
"01/01/2017","003565","1","Y","Up to 3 hours per week","N","","Y","N","","N","","N","","N","","N","","Y","Typically tutorial work, essays or papers, group presentation and final exam","N",""
"01/01/2017","003565","2","Y","2 lectures and 1 tutorial per week","N","","N","N","","N","","N","","N","","N","","Y","Typically tutorial work, essays or papers, final exam","N",""
"01/01/2017","003593","1","Y","Up to 10 hours per week","Y","Available to DClinDent students only","N","N","","Y","DENT 8004HO","N","","N","","N","","Y","demonstration of progress within research project, completion of literature review","N",""
"01/01/2017","003643","1","Y","Up to 7 hours per week","N","","N","N","","Y","PHYSICS 1100","Y","MATHS 1012  - students may be permitted to enrol in Physics IB concurrently with MATHS 1011 on application to Head of Discipline","Y","MATHS 1011 or MATHS 1013","Y","PHYSICS 1201","Y","Written exam, in-semester tests, tutorial preparation, practical work","N",""
"01/01/2017","003643","3","Y","Up to 7 hours per week","N","","N","N","","Y","PHYSICS 1100","N","","N","","N","","Y","Written exam, in-semester tests, tutorial preparation, practical work","N",""
"01/01/2017","003643","4","Y","Up to 7 hours per week","Y","Available to students in BSc (LaserPhysTech), BSc (Space Science & Astrophysics) & B.Sc (HighPerfComputPhys)","N","N","","Y","PHYSICS 1100","Y","MATHS 1012  - students may be permitted to enrol in Physics IB concurrently with MATHS 1011 on application to Head of Discipline","Y","MATHS 1011 or MATHS 1013","Y","PHYSICS 1201","Y","Written exam, in-semester tests, tutorial preparation, practical work","N",""
"01/01/2017","003647","1","Y","Flexible delivery mode","Y","Available to GradCertNursSc students only","N","N","","Y","Hyperbaric Nursing I","N","","N","","N","","Y","Literature review, case study and presentation","N",""
"01/01/2017","003660","1","Y","Up to 4 hours per week","Y","Available to MAppEc & MAdvEc students only","N","N","","N","","N","","Y","ECON 7032 or ECON 7025 or ECON 7121","N","","Y","Typically, assignments & final exam","N",""
"01/01/2017","003675","1","Y","Up to 2 hours per week","N","","Y","N","","N","","N","","Y","COMP SCI 7006 & one of COMP SCI 7082 or COMP SCI 7201","N","","Y","written exam, compulsory group project","N",""
"01/01/2017","003675","2","N","","N","","N","N","","N","","N","","N","","N","","N","","N",""
"01/01/2017","003681","1","N","","N","","Y","N","","N","","N","","N","","N","","N","","N",""
"01/01/2017","003718","1","Y","Up to 4 hours per week","Y","Available to BE(Civil & Struct), BE(Architectural) & associated double degree students only","Y","N","","Y","C&ENVENG 2025","N","","N","","N","","Y","coursework, exam","N",""
"01/01/2017","003762","1","Y","Weekly lectures, CBL sessions & resource sessions","Y","Available to MBBS students only","N","N","","N","","N","","N","","N","","Y","Details provided at start of year","N",""
"01/01/2017","003808","1","Y","Up to 3 hours per week","N","","Y","N","","N","","N","","N","","N","","Y","assignment, research essay, examination","N",""
"01/01/2017","003823","1","Y","Up to 3 hours per week","N","","N","N","","N","","N","","N","","N","","Y","Image analysis, essay, participation, exam","Y","Offered even years"
"01/01/2017","003826","1","Y","Up to 3.5 hours per week","N","","Y","Y","Quota applies for Semester 1","N","","N","","N","","Y","ACCTING 1011","Y","Exam/assignments/tests/tutorial work as prescribed at first lecture","N",""
"01/01/2017","003826","2","N","","N","","N","N","","N","","N","","N","","N","","N","","N",""
"01/01/2017","003826","3","Y","Up to 3 hours per week","N","","N","N","","N","","N","","N","","N","","Y","Exam/assignments/tests/tutorial work as prescribed at first lecture","N",""
"01/01/2017","003891","1","N","","Y","Available to Grad Cert, Grad Dip, MPH students only","N","N","","N","","N","","N","","N","","Y","Assignments, group presentation","N",""
"01/01/2017","003902","1","Y","Up to 4 hours per week","N","","Y","N","","Y","JAPN 1001 or equivalent","N","","N","","N","","Y","continuous assessment, exam(s)","N",""
"01/01/2017","003907","1","N","","N","","Y","N","","N","","N","","N","","N","","N","","N",""
"01/01/2017","003916","1","Y","1 lecture, 1 tutorial per week.","Y","Aboriginal and Torres Strait Islander students only","N","N","","N","","N","","N","","N","","Y","attendance, participation 10%, assignments 60%, end of semester exams 30%","N",""
"01/01/2017","003927","1","N","","N","","Y","N","","N","","N","","N","","N","","N","","N",""
"01/01/2017","003935","1","Y","Up to 2 hours per week","Y","Available to MCompLaws, LLM(Course) & MBusLaw students only","CHK","N","","Y","Students without a Bachelor of Laws must have completed LAW 7177","N","","N","","N","","Y","Likely to include participation, exam or 5000 word research paper or 3 x 1500-2000 word papers","N",""
"01/01/2017","003966","1","Y","Flexible delivery mode","Y","Available to GradCertNursSc students only","N","N","","Y","Apheresis Nursing I","N","","N","","N","","Y","Online presentation, case study, portfolio of activities - students must pass each component of course","N",""
"01/01/2017","003987","1","Y","3 lectures per week or equivalent","N","","N","N","","N","","N","","N","","N","","Y","attendance, participation 20%; assignments and class quizzes 50% and two examinations (one at the end of each semester) 30%","N",""
"01/01/2017","003988","1","Y","Up to 3 hours per week","Y","Available to B Health Sc, B Health Sc (Adv), B.Psych(Hons), B.PsychSc and B Sc students subject to approval by their Faculty","N","N","","Y","ANAT SC 1102 & ANAT SC1103 or equivalent","N","","Y","PHYSIOL 2520 & ANAT SC 2109/3102 or equivalents","N","","Y","Written assessment 45%; peer and lecturer assessment of contribution to workshops and problem based learning 15%; exam 40%","N",""
"01/01/2017","003989","1","Y","Up to 3 hours per week","N","","Y","N","","Y","STATS 2107 or (MATHS 2201 and  MATHS 2202)","N","","Y","Experience with the statistical package R such as would be obtained from STATS 1005 or STATS 2107","N","","Y","ongoing assessment 30%, exam 70%","N",""
"01/01/2017","004013","1","N","","N","","N","N","","N","","N","","N","","N","","Y","Ongoing assessment 30%, exam 70%","N",""
"01/01/2017","004025","1","Y","Up to 3 hours per week","N","","N","N","","Y","MANAGEMT 7100 & MANAGEMT 7087","N","","N","","N","","Y","Exam/assignments/tests/tutorial work as prescribed at first lecture","N",""
"01/01/2017","004025","2","N","","N","","N","N","","Y","MANAGEMT 7100NA, MANAGEMT 7087NA","N","","N","","N","","Y","Exam/assignments/tests/tutorial work as prescribed at first lecture","N",""
"01/01/2017","004049","1","N","","Y","This course is offered in exceptional circumstances and requires permission from the Head of School.","Y","N","","N","","N","","N","","N","","N","","N",""
"01/01/2017","004055","1","N","","Y","Available to DClinDent students only","N","N","","Y","DENT 8091A/BHO","Y","DENT 8001A/BHO","N","","N","","Y","clinical performance, completion of patient log book, written & oral exams","N",""
"01/01/2017","004078","1","Y","Up to 6 hours per week","N","","N","N","","N","","N","","Y","ENV BIOL 2503 or equivalent","N","","Y","Exams, Insect collection","N",""
"01/01/2017","004094","1","Y","Up to 3 hours per week","N","","Y","N","","Y","MATHS 1012","N","","Y","PURE MTH 2106","N","","Y","ongoing assessments 30%, exam 70%","N",""
"01/01/2017","004108","1","Y","Intensive","N","","CHK","N","","Y","Students without a Bachelor of Laws must have completed LAW 7177","N","","N","","N","","Y","To Be Advised","N",""
"01/01/2017","004145","1","Y","Up to 5.5 hours per week","N","","Y","N","","N","","N","","N","","N","","Y","Exam, practical work, In-Semester tests & essay","N",""
"01/01/2017","004234","1","Y","Up to 35 hours per week, plus field trips","N","","N","N","","Y","CHEM 1100 or CHEM 1101 and CHEM 1200 or CHEM 1201","N","","N","","Y","SOIL&WAT 3004WT","Y","Field trip report, practical reports, examinations","N",""
"01/01/2017","004236","1","Y","Up to 19 hours per fortnight","N","","Y","N","","Y","MICRO 2500 or MICRO 2504 or equivalent","N","","N","","Y","MICRO 3102","Y","Exam on lecture material, practical component, performance in tutorials.","N",""
"01/01/2017","004242","1","Y","Up to 5 hours per week","N","","Y","N","","Y","FREN 1011 or equivalent","N","","N","","N","","Y","regular tests, language assignments, essays, language exam","N",""
"01/01/2017","004267","1","N","","N","","N","N","","N","","N","","N","","N","","N","","N",""
"01/01/2017","004286","1","Y","Up to 3 hours per week","Y","Available to Grad Cert, Grad Dip, MPH & MHEP students only","Y","N","","Y","Credit standard in PUB HLTH 7074 or PUB HLTH 7074OL","N","","N","","N","","Y","Data Management Exercise, Statistical Analysis Project","N",""
"01/01/2017","004309","1","Y","Up to 3 hours per week.  Intensive in Summer Semester.","N","","Y","Y","A quota may apply","N","","N","","N","","Y","WINEMKTG 1026EX","Y","Typically, assignments & a final exam","N",""
"01/01/2017","004309","4","N","","N","","CHK","N","","N","","N","","N","","N","","N","","N",""
"01/01/2017","004344","1","Y","1 lecture per week","Y","Aboriginal and Torres Strait Islander students only","N","N","","N","","N","","N","","N","","Y","Attendance 10%, class activities/tasks 10%; reading test 20%, dictation test 20%; examination 40%","N",""
"01/01/2017","004413","1","Y","Up to 4 hours per week","N","","Y","N","","Y","PHYSICS 2532, PHYSICS 2534, MATHS 2101 or MATHS 2202, MATHS 2102 or MATHS 2201","N","","N","","N","","Y","Tests, assignments, written exam","N",""
"01/01/2017","004435","1","Y","Up to 3 hours per week","N","","Y","N","","N","","N","","N","","N","","Y","1000 word essay, 4 practicals, test","N",""
