"Acad_Prog","Descr","Acad_Org"
"BECAB","B.Ec (International Ag Bus)","ECONOMICSS"
"BECBF","B.Economics/B.Finance","ECONOMICSS"
"BECIC","BE(Hons)(Civ,St&Env)","ENGMATHFO"
"BEDAS","BE(Honours)(MechAero) with BSc","ENGMATHFO"
"BEDE1","BE(Honours)(Chem) with BEc","ENGMATHFO"
"BEDE2","BE(Honours)(CivilEnv) with BEc","ENGMATHFO"
"BEDE3","BE(Honours)(CivilSt) with BEc","ENGMATHFO"
"BEDE4","BE(Honours)(CompSys) with BEc","ENGMATHFO"
"BEDE5","BE(Honours)(E&E) with BEc","ENGMATHFO"
"BEDE6","BE(Honours)(Mech) with BEc","ENGMATHFO"
"BEDE7","BE(Honours)(MechAero) with BEc","ENGMATHFO"
"BEDE8","BE(Honours)(Tele) with BEc","ENGMATHFO"
"BEDE9","BE(Honours)(Mechat) with BEc","ENGMATHFO"
"BEDF1","BE(Honours)(Chem) with BFin","ENGMATHFO"
"BEDF2","BE(Hons)(CivilEnv) with BFin","ENGMATHFO"
"BEDF3","BE(Honours)(CivilSt) with BFin","ENGMATHFO"
"BEDF4","BE(Honours)(CompSys) with BFin","ENGMATHFO"
"BEDF5","BE(Honours)(E&E) with BFin","ENGMATHFO"
"BEDF6","BE(Honours)(Mech) with BFin","ENGMATHFO"
"BEDF8","BE(Honours)(Tele) with BFin","ENGMATHFO"
"BEDG1","B.E(Chem) with Unspecified","ENGMATHFO"
"BEDG2","B.E(Civil & Env) with Unspec","ENGMATHFO"
"BEDG3","B.E(CivilSt) with Unspecified","ENGMATHFO"
"BEDG4","B.E(Comp Sys) with Unspecified","ENGMATHFO"
"BEDG5","B.E(Elec) with Unspecified","ENGMATHFO"
"BEDG6","B.E(Mech) with Unspecified","ENGMATHFO"
"BEDG7","B.E(Mechat) with Unspec","ENGMATHFO"
"BEDG8","B.E(T) with Unspecified","ENGMATHFO"
"BEDM1","BE(Honours)(Chem) with BMaCSci","ENGMATHFO"
"BEDM2","BE(Hons)(CivEnv) with BMaCSci","ENGMATHFO"
"BEDM3","BE(Hons)(CivSt) with BMaCSci","ENGMATHFO"
"BEDM4","BE(Hons)(CompSys) with BMaCSci","ENGMATHFO"
"BEDM5","BE(Honours)(E&E) with BMaCSci","ENGMATHFO"
"BEDM6","BE(Honours)(Mech) with BMaCSc","ENGMATHFO"
"BEDM7","BE(Hons)(Mechat) with BMaCSci","ENGMATHFO"
"BEDM8","BE(Honours)(Tele) with BMCSci","ENGMATHFO"
"BEDM9","BE(Hons)(MechAero)with BMaCSci","ENGMATHFO"
"BEDMJ","BE(Hons)(MechAuto)with BMaCSci","ENGMATHFO"
"BEDMK","BE(Hons)(Mining) with BMaCSci","ENGMATHFO"
"BEDS1","BE(Honours)(Chemical) with BSc","ENGMATHFO"
"BEDS2","BE(Honours)(CivEnv) with BSc","ENGMATHFO"
"BEDS3","BE(Honours)(CivilSt) with BSc","ENGMATHFO"
"BEDS6","BE(Honours)(Mech) with BSc","ENGMATHFO"
"BEDS9","BE(Honours)(MechAero) with BSc","ENGMATHFO"
"BEDSB","BE(Hons)(Chem) with BSc(Biot)","ENGMATHFO"
"BEDSK","BE(Honours)(Mining) with BSc","ENGMATHFO"
"BEDST","B.Educational Studies","EDUCS"
"BEDUC","B.Education","H&SSFO"
"BEHF","B.E(Honours)-Flexible Entry","ENGMATHFO"
"BENG","B.Engineering(Honours)","ENGMATHFO"
"BENSC","B.Environmental Science","SCHBIOSCI"
"BENVM","B.Environmental Management","SCHBIOSCI"
"BENVS","B.Environmental Policy & Mgt.","H&SSFO"
"BEPB1","B.E(Petrol) & B.E(Chem)","ENGMATHFO"
"BEPB2","B.E(Petrol) & B.E(Mechan)","ENGMATHFO"
"BEPB3","BE(Hons)(Pet) & BSc","ENGMATHFO"
"BEPB4","BE(Hons)(Petro) & BSc(Physics)","ENGMATHFO"
"BEPB5","B.E(Petrol) & B.E(Civil&Env)","ENGMATHFO"
"BEPB6","B.E(Petrol) & B.E(Civil&Struc)","ENGMATHFO"
"BEPBK","B.E(Petrol Eng) & B.E(Mining)","ENGMATHFO"
"BEPCH","BE(Honours)(Petro&Chem)","ENGMATHFO"
"BEPCI","BE(Hons)(Petrol,Civil&St)","ENGMATHFO"
"BEPMI","BE(Hons)(Petrol&Mining)","ENGMATHFO"
"BEPMN","BE(Honours)(Petro&Mech)","ENGMATHFO"
"BFIBM","B.Finance/B.Ma.&Comp.Sc.","BUSSCH"
"BFIN","B.Finance","BUSSCH"
"BFSCT","B.Food & Nutrition Science","SCIENCE"
"BFT&M","B.Food,Tech & Mgt","SCHAG&WINE"
"BHLTA","B.Health Sciences (Advanced)","HEALTHSCI"
"BHLTH","B.Health Sciences","HEALTHSCI"
"BHMS","B.Health & Medical Sciences","HEALTHSCI"
"BHMSA","B.Health & Medical Sci (Adv)","HEALTHSCI"
"BHSMC","B.HlthSci with B.Math&CompSci","HEALTHSCI"
"BINEN","B.Innov. and Entrepreneurship","ECIC"
"BINFO","B.Information Science","ENGMATHFO"
"BINNE","B.Innova. and Entrepreneurship","ECIC"
"BINTL","B.International Studies","H&SSFO"
"BISBA","B.InternationalSt with B.Arts","H&SSFO"
"BISEC","B.International St with B.Ec","H&SSFO"
"BLABS","B.Labour Studies","H&SSFO"
"BLANG","B.Languages","H&SSFO"
"BLARC","B.Landscape Architecture","ARCH&URBD"
"BLAS","B.Liberal Arts and Sciences","ARTS"
"BLAWS","B.Laws","LAWS"
"BMASC","B.Mathematical Sciences","ENGMATHFO"
"BMBBS","B.Medicine & B.Surgery","MEDICINE"
"BMBIS","B.Media with B.InternationalSt","H&SSFO"
"BMEBA","B.Media with B.Arts","H&SSFO"
"BMEDI","B.Media","H&SSFO"
"BMSAD","B.Math Sci (Advanced)","ENGMATHFO"
"BMUS","B.Music","ELDERCON"
"BMUSE","B.Music Education","ELDERCON"
"BNRM","B.Natural Resource Mgt","SCHBIOSCI"
"BNUPR","B.Nursing (Post Reg)","CLINNURSE"
"BNURS","B.Nursing","CLINNURSE"
"BOEN","B.Oenology","SCIFO"
"BORAL","B.Oral Health","ORALHLTH"
"BOSTD","Bridging OS Trained Doctors","MEDICINE"
"BPSYC","B.Psychological Science","PSYCHOLOGY"
"BREM","B.Rural Enterprise Management","SCHAG&WINE"
"BSC","B.Science","SCIFO"
"BSCMS","B.Math & Comp Sci","ENGMATHFO"
"BSCPV","B.Sc (Veterinary Bioscience)","SCIFO"
"BSOCS","B.Social Sciences","H&SSFO"
"BSSBH","B.Social Sc/B.Health Sc","HEALTHSCI"
"BTBA","B.Teaching/B.Arts","EDUCS"
"BTBEC","B.Teaching/B.Economics","EDUCS"
"BTBMC","B.Teaching/B.MathCompSc","EDUCS"
"BTBSC","B.Teaching/B.Science","EDUCS"
"BTBSS","B.Teaching/B.SocSc","EDUCS"
"BTEAC","B.Teaching","EDUCS"
"BVITO","B.Viticulture & Oenology","SCHAG&WINE"
"BWMKT","B.Wine Marketing","BUSSCH"
"C3MUS","Cert.III in Music","ELDERCON"
"C4MUS","Cert.IV in Music","ELDERCON"
"C4TES","Cert.IV in TESOL","P&CONTED"
"CAEXC","Canterbury Exchange","PROFESSION"
"DARTS","Dip.Arts","H&SSFO"
"DBA","Doctor of Business Admin","BUSSCH"
"DIAGP","Dip.Agricultural Production","SCHAG&WINE"
"DIASM","Dip. Aborig Studies in Music","CASM"
"DIDEN","Dip.Dental Therapy","DENTAL"
"DILAB","Dip.Labour Studies","H&SSFO"
"DILAN","Dip.Languages","H&SSFO"
"DILIB","Dip.Liberal Studies","H&SSFO"
"DIMUJ","Dip.Music (Jazz)","ELDERCON"
"DIMUS","Dip.Music","ELDERCON"
"DINRM","Dip.Natural Resources Mgmt","SCHBIOSCI"
"DINSM","Dip. Instrumental Music","ELDERCON"
"DIPMU","Dip. Music","ELDERCON"
"DIWMK","Dip.Wine Marketing","BUSSCH"
"DMED","Doctor of Medicine","HEALTHSCI"
"DMUSV","Dip.Music","ELDERCON"
"DRCD","D. Clinical Dentistry","DENTALSCH"
"DRCDR","D.Clinical Dentistry-Research","DENTALSCH"
"DRCLD","D.Clinical Dentistry","DENTALSCH"
"DRDES","D.Dental Science","DENTALSCH"
"DRED","D. Education","EDUCS"
"DREDU","D.Education","EDUCS"
"DRENG","D.Engineering","ENGMATHFO"
"DRHS","Doctor of Health Sciences","HEALTHSCI"
"DRLET","D.Letters","H&SSFO"
"DRLWS","D.Laws by Scholarly Study","LAWS"
"DRLWT","D.Laws by Thesis","LAWS"
"DRMCS","D.Science - EC&MS","ENGMATHFO"
"DRMED","D.Medicine","HEALTHSCI"
"DRMUS","D.Mus","ELDERCON"
"DRNRS","D.Nursing","HEALTHSCI"
"DRNUR","D.Nursing","CLINNURSE"
"DRSC","D.Science - Sciences","SCIFO"
"DTRAN","Degree Transfer Program","DVC&P"
"DVETM","D. Veterinary Medicine","SCHVETSCI"
"DVM","D.Veterinary Medicine","SCHVETSCI"
"ENGAP","English for Academic Purposes","DVC&P"
"ENGEN","Engineering Enabling","ENGMATHFO"
"EXCH","Exchange","P&CONTED"
"FCASM","CASM Foundation Year","CASM"
"FH&SS","Wirltu Yarlu - Uni Prep Prog","WILTOYERLO"
"FLSA","Faculty Lead Study Abroad","P&CONTED"
"FOUND","Foundation Studies Program","DVC&P"
"FSC","Wilto Yerlo - Sci Found Prog","WILTOYERLO"
"GCABU","GCert.Agricultural Business","SCHAG&WINE"
"GCADS","GCert. Alcohol & Drug Studies","MEDSCI"
"GCAPE","GCert.Applied Economics","ECONOMICSS"
"GCAPL","GCert.Applied Linguistics","H&SSFO"
"GCAPM","GCert.App Project Mgt","ECIC"
"GCARH","GCert.Art History","H&SSFO"
"GCBAD","GCert.Business Administration","BUSSCH"
"GCBEN","GCert.Business Enterprise","ENGMATHFO"
"GCBI","GCert.Bioinformatics","SCHBIOSCI"
"GCBIB","GCert.Bio(Biomedical)","SCHBIOSCI"
"GCBIO","GCert.Biotechnology","SCHAG&WINE"
"GCBLA","GCert.Business Law","LAWS"
"GCBST","GCert.Biostatistics","PUBLICHLTH"
"GCBUE","GCert.Bus. Enterprise","ENGMATHFO"
"GCBUS","GCert.Business","BUSSCH"
"GCCCA","GCert.Climate Chg. Adapt.","GEOG&ENV"
"GCCM","GCert.Carbon Management","SCHBIOSCI"
"GCCMS","GCert.Computer Science","ENGMATHFO"
"GCCOM","GCert.Commerce","BUSSCH"
"GCCP","GC.Counselling & Psychotherapy","PUBLICHLTH"
"GCCRW","GCert.Creative Writing","H&SSFO"
"GCDDM","GCert.Design in Digital Media","ARCH&URBD"
"GCDEN","GCert.Dentistry","DENTAL"
"GCDES","GCert.Design Studies","ARCH&URBD"
"GCDSL","GCert.Design Studies (Lscape)","ARCH&URBD"
"GCECO","GCert.Economics","ECONOMICSS"
"GCED","GCert.Education","EDUCS"
"GCEHE","GCert.Ed (Higher Education)","EDUCS"
"GCEMT","GCert.Env Mon Tech","SCHBIOSCI"
"GCEPM","GCert.Env Policy & Management","H&SSFO"
"GCFDW","GCert.Food Writing","H&SSFO"
"GCFE","GCert.Family Enterprise","BUSSCH"
"GCFS","GCert.Food Studies","H&SSFO"
"GCGAS","Le Cordon Bleu Grad.Cert.Gast.","H&SSFO"
"GCGFA","GCert.Global Food AgriBusiness","GFS"
"GCGPC","GCert.Grief&Palliat Care Couns","PUBLICHLTH"
"GCHAN","GCert.Human Anatomy","MEDSCI"
"GCHE","GCert.Health Economics","PUBLICHLTH"
"GCIAS","GCert. Int. Addiction Studies","MEDSCI"
"GCIB","GC.International Business","BUSSCH"
"GCIEN","GCert.Innov. & Entrepren.","ECIC"
"GCIL","GCert. Insolvency Law","LAWS"
"GCINE","GCert.International Economics","ECONOMICSS"
"GCINN","GCert.Inn & Entrepreneurship","ECIC"
"GCIST","GCert.International Studies","H&SSFO"
"GCITD","GCert.Int. Trade & Dev.","IBEL"
"GCMAR","GCert. Marine Engineering","ENGMATHFO"
"GCMGT","GCert.Management","BUSSCH"
"GCMSI","GCert.Math Signal&Info Process","ENGMATHFO"
"GCMT","GCert.Music Teaching","ELDERCON"
"GCNSC","GCert.Nursing Science","CLINNURSE"
"GCOEN","GCert.Oenology","SCHAG&WINE"
"GCOHS","GCert.Occ Health & Safety Mgmt","PUBLICHLTH"
"GCONL","GCert.Online Learning (H.Ed.)","EDUCS"
"GCORH","GCert.Oral Health Science","ORALHLTH"
"GCPGG","GCert.Petrol Geol & Geophys","ENGMATHFO"
"GCPHY","GCert.Physics","SCIFO"
"GCPLH","GCert.Plant Hlth & Biosecurity","SCHAG&WINE"
"GCPMO","GCert.Project Mgt","ECIC"
"GCPSM","GCert.Pig Science & Management","SCHAG&WINE"
"GCPUH","GCert.Public Health","PUBLICHLTH"
"GCRM","GCert.Radiation Mgt","SCHCH&PHY"
"GCSCE","GCert. Science (Ecotourism)","SCHPHYSCI"
"GCSDE","GCert.Sc (Defence)","ENGMATHFO"
"GCSDS","GCert.Sc (DefSIP)","ENGMATHFO"
"GCSEI","GCert.Social Entrep. & Innov.","ECIC"
"GCSIN","GCert.Spatial Info Science","H&SSFO"
"GCSMS","GCert. Self Man.Super.Fund","BUSSCH"
"GCSTC","GCert.Sc & Tech Commercial","ECIC"
"GCSUS","GCert.Sustainability","SCHBIOSCI"
"GCURM","GCert.Urban Habitat Management","SCIFO"
"GCVIT","GCert.Viticulture","SCHAG&WINE"
"GCWIB","GCert.Wine Business","BUSSCH"
"GCWRM","GCert. Water Res Mgt","ENGMATHFO"
"GDABU","GDip.Ag Business","SCHAG&WINE"
"GDADM","GDip.Arch (Digital Media)","ARCH&URBD"
"GDADS","GDip.Alcohol & Drug Studies","MEDSCI"
"GDAG","GDip.Agribusiness","GFS"
"GDALI","GDip.Applied Linguistics","H&SSFO"
"GDAMH","GDip.Addiction & Mental Health","CLINNURSE"
"GDAPE","GDip.Applied Economics","ECONOMICSS"
"GDAPF","GDip.Applied Finance","BUSSCH"
"GDAPM","GDip.App Project Mgt","ECIC"
"GDAPS","GDip.Applied Statistics","ENGMATHFO"
"GDARH","GDip.Art History","H&SSFO"
"GDBAD","GDip.Business Administration","BUSSCH"
"GDBI","GDip.Bioinformatics","SCHBIOSCI"
"GDBIB","GDip.Bio(Biomedical)","SCHBIOSCI"
"GDBIO","GDip.Biotechnology","SCHAG&WINE"
"GDBLA","GDip.Business Law","LAWS"
"GDBST","Grad.Dip in Biostatistics","PUBLICHLTH"
"GDBUS","GDip.Business","BUSSCH"
"GDCLD","GDip.Clinical Dentistry","DENTAL"
"GDCM","GDip.Carbon Management","SCHBIOSCI"
"GDCMS","GDip.Computer Science","ENGMATHFO"
"GDCOM","GDip.Commerce","BUSSCH"
"GDCP","GD.Counselling & Psychotherapy","PUBLICHLTH"
"GDCRW","GDip.Creative Writing","H&SSFO"
"GDDDM","GDip. Design in Digital Media","ARCH&URBD"
"GDDES","GDip.Design Studies","ARCH&URBD"
"GDDSL","GDip.Des Stud (Landscape)","ARCH&URBD"
"GDDSM","GDip.Dental Sleep Medicine","DENTAL"
"GDECO","GDip.Economics","ECONOMICSS"
"GDEDS","GDip.Education (Secondary)","H&SSFO"
"GDEDU","GDip.Education","EDUCS"
"GDEMT","GDip.Env Mon Tech","SCHBIOSCI"
"GDEMW","GDip.Eng(MaterialsWeld&Join)","ENGSO"
"GDENG","GDip.Engineering","ENGMATHFO"
"GDENL","GDip.Environmental Law","LAWSO"
"GDEPM","GDip.Env Policy & Management","H&SSFO"
"GDES","GDip.Education Studies","EDUCS"
"GDFOD","GDip.Forensic Odontology","DENTAL"
"GDFS","GDip.Food Studies","H&SSFO"
"GDGAS","Le Cordon Bleu Grad. Dip.Gast.","H&SSFO"
"GDGFA","GDip.Global Food Agri Business","GFS"
"GDGPC","GDip.Grief&Palliat Care Couns","PUBLICHLTH"
"GDGWM","GDip.Global Wealth Management","BUSSCH"
"GDHE","GDip.Health Economics","PUBLICHLTH"
"GDIAS","GDip. Int. Addiction Studies","MEDSCI"
"GDIB","GD.International Business","BUSSCH"
"GDINE","GDip.International Economics","ECONOMICSS"
"GDINN","GDip.Inn & Entrepreneurship","ECIC"
"GDIST","GDip.International Studies","H&SSFO"
"GDITD","GDip.Int. Trade & Dev.","IBEL"
"GDJZP","GDip.Jazz Performance","ELDERCON"
"GDLP","GDip.Legal Practice","LAWS"
"GDMAR","GDip. Marine Engineering","ENGMATHFO"
"GDMPP","GDip.Music (Perf & Pedagogy)","ELDERCON"
"GDMSC","GDip.Mathematical Sciences","ENGMATHFO"
"GDMUP","GDip.Music Performance","ELDERCON"
"GDNSC","GDip.Nursing Science","CLINNURSE"
"GDOEN","GDip.Oenology","SCHAG&WINE"
"GDOHS","GDip.Occ Health & Safety Mgt","PUBLICHLTH"
"GDPHY","GDip.Physics","SCIFO"
"GDPLH","GDip.Plant Hlth & Biosecurity","SCHAG&WINE"
"GDPRA","GDip.Professional Accounting","BUSSCH"
"GDPSC","GDip.Psychological Sciences","PSYCHOLOGY"
"GDPSM","GDip.Pig Science & Management","SCHAG&WINE"
"GDPUH","GDip.Public Health","PUBLICHLTH"
"GDSCE","GDip. Science (Ecotourism)","SCHPHYSCI"
"GDSDE","GDip.Sc (Defence)","ENGMATHFO"
"GDSDS","GDip.Sc (Defence SIP)","ENGMATHFO"
"GDSIS","GDip.Spatial Info Sciences","H&SSFO"
"GDSTC","GDip.Sc&Tech Commercialisation","ECIC"
"GDSUS","GDip.Sustainability","SCHBIOSCI"
"GDTTC","GDip. Transl & Transc Comm","H&SSFO"
"GDURB","GDip.Urban Habitat Management","SCIFO"
"GDVIT","GDip.Viticulture","SCHAG&WINE"
"GDVO","GDip.Viticulture & Oenology","SCHAG&WINE"
"GDWIB","GDip.Wine Business","BUSSCH"
"GDWM","GDip.Wealth Management","BUSSCH"
"GDWRM","G.Dip Water Res Mgt","ENGMATHFO"
"GDWST","GDip.Women's Studies","H&SSFO"
"GEA05","Gen Eng Acad Purposes (5)","P&CONTED"
"GEA10","Gen Eng Acad Purposes (10)","P&CONTED"
"GEA15","Gen Eng Acad Purposes (15)","P&CONTED"
"GEA20","Gen Eng Acad Purposes (20)","P&CONTED"
"GEA25","Gen Eng Acad Purposes (25)","P&CONTED"
"GEA30","Gen Eng Acad Purposes (30)","P&CONTED"
"GEA35","Gen Eng Acad Purposes (35)","P&CONTED"
"GEA40","Gen Eng Acad Purposes (40)","P&CONTED"
"GEA45","Gen Eng Acad Purposes (45)","P&CONTED"
"GEAP","Gen English for Acad Purposes","P&CONTED"
"GENEG","General English","DVC&P"
"HAG","B.Agriculture - honours","SCHAG&WINE"
"HAGBS","B.Ag Business - honours","SCHAG&WINE"
"HAPB","B.Applied Biology (Honours)","SCHAG&WINE"
"HAPPB","B. Applied Biology (Honours)","SCHAG&WINE"
"HARCH","B.Architecture - honours","ARCH&URBD"
"HARTS","B.Arts - honours","H&SSFO"
"HBINT","B.International Studies - hons","H&SSFO"
"HBIOT","B.Biotechnology - honours","SCIFO"
"HBNRM","B.Natural Resource Mgt - hons","SCHBIOSCI"
"HCOM","B.Commerce - honours","BUSSCH"
"HCOMP","B.Computer Science - honours","ENGMATHFO"
"HDESS","B.Architectural Design - hons","ARCH&URBD"
"HDVST","B.International Dev. - hons","H&SSFO"
"HEAD","Headstart Scholarship Program","SR&AS"
"HEC","B.Economics - honours","ECONOMICSS"
"HENST","B.Env Policy & Mgt. - hons","H&SSFO"
"HENVS","B.Environmental Science - hons","SCINCESFO"
"HFIN","B.Finance - honours","BUSSCH"
"HFSCT","B.Food & Nutrition Sci- hons","SCIENCE"
"HHLTH","B.Health Sciences - honours","HEALTHSCI"
"HHMSC","B.Health & Med Sci - honours","MEDICINE"
"HLABS","B.Labour Studies - honours","H&SSFO"
"HLANG","B.Languages - honours","H&SSFO"
"HLARC","B.Landscape Arch - honours","ARCH&URBD"
"HLAWS","B.Laws - Honours","LAWS"
"HLLB","B.Laws - Honours","LAWS"
"HMASC","B.Mathematical Sciences - hons","ENGMATHFO"
"HMEDI","B. Media - honours","H&SSFO"
"HMEDS","B.Medical Science - honours","MEDICINE"
"HMUS","B.Mus - hons","ELDERCON"
"HNURS","B.Nursing - honours","CLINNURSE"
"HOEN","B.Oenology - honours","SCIENCE"
"HPSY","B.Psychological Science - hons","PSYCHOLOGY"
"HPSYC","B. Psychology - honours","PSYCHOLOGY"
"HSC","B.Science - honours","SCIFO"
"HSCD","B.Science (Dentistry) - hons","DENTAL"
"HSCEN","Health Science Enabling","HEALTHSCI"
"HSCHP","B.Sc (HighPerfCompPhys) (Hons)","SCIFO"
"HSMCS","B.Ma. & Comp. Sc. - honours","ENGMATHFO"
"HSOCS","B.Social Sciences - honours","H&SSFO"
"HVITO","B.Viticulture & Oenology -hons","SCHAG&WINE"
"HWMKT","B.Wine Marketing - honours","BUSSCH"
"IAP","Introductory Academic Program","EDUCS"
"MAAAL","M. Arts (AdvAppLing)","H&SSFO"
"MAAH","M.Arts(Stud. in Art History)","ARTHIST"
"MAAL","M. Arts (Applied Linguistics)","H&SSFO"
"MAAPL","M.Arts (Applied Linguistics)","H&SSFO"
"MACC","M.Accounting","BUSSCH"
"MACCG","M. Accounting","BUSSCH"
"MACFI","M.Accounting & Finance","BUSSCH"
"MACM","M. Arts(Curatorial & MuseumSt)","H&SSFO"
"MACMA","M.Accounting & Marketing","BUSSCH"
"MACMS","M.Arts(Curatorial & MuseumSt)","ARTHIST"
"MACPM","M.Accounting & Perf Mgmt","BUSSCH"
"MACW","M. Arts (Creative Writing)","H&SSFO"
"MADS","M.Alcohol & Drug Studies","MEDSCI"
"MAECI","M.Applied Economics (Intnatl)","ECONOMICSS"
"MAECO","M.Advanced Economics","ECONOMICSS"
"MAEPP","M.App Economics(Public Policy)","ECONOMICSS"
"MAF","M. Applied Finance","BUSSCH"
"MAGAS","Le Cordon Bleu M. Arts (Gast)","H&SSFO"
"MAGBU","M.Ag Business","SCHAG&WINE"
"MAGRI","M.Agribusiness","GFS"
"MAGSC","M.Agricultural Science","SCHAG&WINE"
"MAHMC","M.A.(St.ArtHist)&M.A.(Cur&Mu)","H&SSFO"
"MAIE","M.App Inn & Entrepreneurship","ECIC"
"MAIEA","M.App Inn & Entrep (Adv)","ECIC"
"MAIEN","M.Appl Inv & Entrp","ECIC"
"MAIS","M. Arts(International Studies)","H&SSFO"
"MAPEC","M.Applied Economics","ECONOMICSS"
"MAPFN","M.Applied Finance","BUSSCH"
"MAPM","M.App Project Mgt","ECIC"
"MAPMA","M.App Project Management (Adv)","ECIC"
"MAPMP","M.App Project Mgt (Proj Sys)","ECIC"
"MAPPE","M. Applied Economics","ECONOMICSS"
"MAPSC","M.App Science - 2/3 coursework","ENGMATHFO"
"MAPSE","M.App Science - Engineering","ENGMATHFO"
"MAPSR","M.App Science - research","SCIFO"
"MAPST","M.App Science - 3/4 research","ENGMATHFO"
"MARCC","M.Architecture - coursework","ARCH&URBD"
"MARCH","M. Architecture - coursework","ARCH&URBD"
"MARCR","M.Architecture - research","ARCH&URBD"
"MARCS","M.Architectural Studies","ARCH&URBD"
"MARDM","M.Architecture (Digital Media)","ARCH&URBD"
"MARML","M.Architecture/M.Landscape Arc","ARCH&URBD"
"MARTC","M.Arts - coursework","H&SSFO"
"MARTQ","M.Arts - qualifying","H&SSFO"
"MARTR","M.Arts - research","H&SSFO"
"MARTS","M.Arts","ARTS"
"MAS","M.Science in Addiction Studies","MEDSCI"
"MASAH","M. Arts(Stud. in Art History)","H&SSFO"
"MATTC","M. Arts(Transl & Transc Comm)","H&SSFO"
"MBA12","M.Business Administration (12)","BUSSCH"
"MBAA","M.Business Admin (Advanced)","BUSSCH"
"MBIB","M.Bio(Biomedical)","SCHBIOSCI"
"MBIO","M.Bioinformatics","SCHBIOSCI"
"MBIOT","M.Biotechnology","SCHAG&WINE"
"MBLAW","M.Business Law - coursework","LAWS"
"MBLDS","M.Building Science","ARCH&URBD"
"MBLMA","M.Bus Law and M.App Fin","LAWS"
"MBLMC","M.Business Law and M.Commerce","LAWS"
"MBLMP","M.Bus Law and M.Prof Accting","LAWS"
"MBST","M.Biostatistics","PUBLICHLTH"
"MBUS","M.Business","BUSSCH"
"MBUSL","M. Business Law","LAWS"
"MBUSR","M.Business Research","BUSSCH"
"MCLAW","M.Comparative Laws (Adel/Mann)","LAWS"
"MCLNU","M.Clinical Nursing","CLINNURSE"
"MCLSC","M.Clinical Science","HEALTHSCI"
"MCM","M.Carbon Management","SCHBIOSCI"
"MCOM","M.Commerce - research","BUSSCH"
"MCOMC","M.Commerce","BUSSCH"
"MCOMI","M.Computing & Innovation","ENGMATHFO"
"MCOMK","M.Commerce (Marketing)","BUSSCH"
"MCOMM","M. Commerce","BUSSCH"
"MCOMQ","M.Commerce - qualifying","BUSSCH"
"MCOMS","M.Computer Science","ENGMATHFO"
"MCP","M.Counselling & Psychotherapy","PUBLICHLTH"
"MCSC","M. Clinical Science","HEALTHSCI"
"MDDM","M.Design in Digital Media","ARCH&URBD"
"MDEST","M.Design Studies","ARCH&URBD"
"MDS","M.Dental Surgery","DENTAL"
