"Eff_Date","Course_ID","Status","Short_Title","Long_Title","Min_Units","Max_Units","Prgrss_Unt","Grading","Last_Crse","Enrl_Unt_Calc","Descr"
"01/01/2017","001346","I","Hons Stats Part 2","Honours Statistics Part 2","24.00","24.00","12.00","GS5","Y","2","Students are required to take 5 courses and a Statistics project as approved by the Head of the School of Mathematical Sciences."
"01/01/2017","001371","A","Econometrics PG","Econometrics PG","3.00","3.00","3.00","M10","N","1","The course focuses on the estimation, inference and identification of linear models. We will discuss the issues and challenges of linear regression models, how to interpret the results of these models, and apply econometrics can be applied to study real-world problems. The topics to be covered in the course include estimation issues such as model misspecification, measurement errors endogenous regressors, as well as instrumental variable regressions, panel data approaches, and econometric analysis using matrices. STATA, a standard software for econometric and statistical analysis, will be used throughout the course."
"01/01/2017","001427","I","Res.Methods In Env.Biol. III","Research Methods in Environmental Biology III","3.00","3.00","3.00","M10","N","1","An introduction to systematic methods of collection, analysis and reporting of field and laboratory data, and basic experimental design. Lectures outline the nature of research and the value of experimental methods. Some knowledge of basic statistics is required. Experimental design will be emphasised, and the elements of statistical tests, particularly analysis of variance, will be considered in a biological context. Practical work involves use of computers and software, and will complement methods introduced in lectures."
"01/01/2017","001430","A","Prac Ext II Pt 2","Practical Extension II Pt 2","2.00","2.00","1.00","M10","Y","2","Further development of practical aspects related to music-making. Topics are music business and management skills; introduction to recording techniques; music networks and organisations; music industry skills - publishing, copyright, funding."
"01/01/2017","001458","A","Ecophys of Plants III","Ecophysiology of Plants III","3.00","3.00","3.00","M10","N","1","This course explores interactions between plants and their environment from a physiological perspective. It will consolidate and extend knowledge of the processes involved in the acquisition and transport of resources by plants and use this knowledge to examine the ways plants have adapted to a range of environments, some of which can be considered as extreme. The course will also look at how plants respond to environmental challenges such as climate change, salinisation and heavy metal toxicity. Interactions with other organisms will also be examined including mycorrhizas and parasitic plants. Practical work will include small group experiments and a compulsory three day field trip in the mid-semester break. Two oral presentations will be prepared and delivered by small groups after the mid-semester break."
"01/01/2017","001462","I","Intro.To Ter.Mus.St. Pt 2","Introduction to Tertiary Music Study Pt 2","3.00","3.00","1.50","M10","Y","2","Development and application of tertiary level communication, research and study skills, as relevant to Aboriginal and Torres Strait Islander tertiary music students."
"01/01/2017","001496","A","Comm Skills III","Communication Skills III","3.00","3.00","3.00","M10","N","1","In the modern world skill at communicating technical concepts is sometimes just as important as having the technical skills themselves. This course develops students' skills in both the written and verbal communication of technical concepts. In addition the general communication skills that are fundamental to getting and keeping a job are taught. The course encourages student learning with a range of interesting teaching techniques including guest lecturers and workshops.

Topics covered are: The use of and benefits of using Plain English and diagrams to communicate technical concepts; why and how to report (including presentations, report writing, email, phone and person to person communication); writing job applications and preparing for technical job interviews."
"01/01/2017","001538","A","Pure Mathematics Topic B","Pure Mathematics Topic B","3.00","3.00","3.00","M10","N","1","Please contact the School of Mathematical Sciences for further details, or view course information on the School of Mathematical Sciences web site at http://www.maths.adelaide.edu.au"
"01/01/2017","001552","I","Community & Culture Pt 2","Community and Culture Pt 2","3.00","3.00","1.50","M10","Y","2","An introductory exploration of the arts in society using examples from a variety of indigenous and non-indigenous communities and cultures in Australia and elsewhere.  Themes include the social, political, religious and educational roles of artists and the arts, cultural identity and maintenance, aesthetics, technology and the arts, popular culture, culture contact and change."
"01/01/2017","001596","A","MPH Dissertation (Full-Time)","MPH Dissertation (Full-Time)","12.00","12.00","12.00","M10","N","1","The dissertation can be the final requirement of the MPH and should therefore reflect what the student has learned from the core and elective course work of the degree program. Unless exempted by the School of Public Health, the dissertation will take the form of a paper suitable for submission to an appropriate peer reviewed journal. The content of this paper must reflect the research topic. The successful completion of this paper fulfils the requirements for a dissertation.
* Exemptions will be rare but may be necessary in some circumstances to avoid significant disadvantage to a particular student."
"01/01/2017","001625","A","Biotechnology Practice III","Biotechnology Practice III","6.00","6.00","6.00","M10","N","1","The aim of this course is to add to the strong scientific focus of the degree by providing an introduction to aspects of technology, business and ethical issues relevant to the diverse nature of biotechnology industry. Students completing this course should be well equipped to undertake further studies (e.g. Honours in Biotechnology or a Master of Business Administration), obtain employment in research laboratories, obtain employment in local, interstate and overseas biotechnology companies or create their own business. Topics include intellectual property and its commercialisation, basic business accounting, preparing a business plan, principles in bioprocess engineering and design, use of animal and plant cell culture systems, validation and monitoring, food biotechnology, genetically modified organisms, food additives and by-products. The group-based project involves preparation of a business plan to operate a model biotechnology business."
"01/01/2017","001636","A","Internat. Trade for Business","International Trade for Business","3.00","3.00","3.00","M10","N","1","Increasingly, we recognise that sustainable competitive advantage comes largely through intangible assets - people and how they are organised.  This course explores how to attract, mobilise and develop people with both operational effectiveness and long-term competitive capability in mind.  It steers away from the narrow focus on functional human resource activities, generally reduced to expatriation. The course does not get into technical details of HRM that are best left to specialists - be it the use of selection tests or the specifics of job evaluation.  The course adopts the perspective of the general manager who addresses human resource topics from a business point of view."
"01/01/2017","001676","A","Res Proj (Oen) III","Research Project: Oenology III","3.00","3.00","3.00","M10","N","1","Enrolment subject to the approval of the Head of Discipline.
The course comprises a small research project to be undertaken during the 4th year of the course under the supervision of a staff member in the Discipline. Students wishing to undertake a research project should consult the Course Coordinator before the beginning of the 4th year."
"01/01/2017","001679","I","Topics Math.Phys.A","Topics in Mathematical Physics A","3.00","3.00","3.00","M10","N","1","Supervised reading: a review of contemporary developments and research in mathematical physics."
"01/01/2017","001718","A","German IA: Beg German","German IA: Beginners' German","3.00","3.00","3.00","M10","N","1","This course introduces students to the language and culture of contemporary Germany. It provides intensive language training in the four basic skills - listening, speaking, reading and writing - and introduces students to relevant aspects of German culture and society."
"01/01/2017","001724","A","Kalman Filtering & App","Kalman Filtering & Applications","3.00","3.00","3.00","M10","N","1","The Kalman Filter: Stochastic state-variable systems; Optimality criteria for the estimation of state variables; The maximum-likelihood solution for independent Gaussian noise processes; The innovations sequence; The least-squares Kalman filter; Systems with correlated noise processes; Stochastic systems with time-invariant coefficients; The square-root algorithm; The extended Kalman filter, Adaptive system identification."
"01/01/2017","001733","A","Fluid Mechanics III","Fluid Mechanics III","3.00","3.00","3.00","M10","N","1","Fluid flows are important in many scientific and technological problems including atmospheric and oceanic circulation, energy production by chemical or nuclear combustion in engines and stars, energy utilisation in vehicles, buildings and industrial processes, and biological processes such as the flow of blood. Considerable progress has been made in the mathematical modelling of fluid flows and this has greatly improved our understanding of these problems, but there is still much to discover. This course introduces students to the mathematical description of fluid flows and the solution of some important flow problems.

Topics covered are: the mathematical description of fluid flow in terms of Lagrangian and Eulerian coordinates; the derivation of the Navier-Stokes equations from the fundamental physical principles of mass and momentum conservation; use of the stream function, velocity potential and complex potential are introduced to find solutions of the governing equations for inviscid, irrotational flow past bodies and the forces acting on those bodies; analytic and numerical solutions of the Navier-Stokes equation."
"01/01/2017","001806","A","Technology, Law &Society","Technology, Law and Society (PG)","3.00","3.00","3.00","M10","N","1","This course will consider how the law impacts on technology - both by regulation and facilitation. The roles of statute, tort and contract will be considered, along with comparative and transnational approaches and extra-legal means of control of technology. These general issues will be considered in the setting of specific situations such as the following topics: regulating information and communication technologies; identification, privacy, data-mining and retention of information; e-risk management, trust and security technologies; digital evidence and e-discovery; e-forensics and expert evidence; virtual worlds and social networks; and digital divides."
"01/01/2017","001809","I","Accounting Method I","Accounting Method I","3.00","3.00","3.00","M10","N","1","This course is an introduction to the method of double-entry accounting in a manual accounting system. The course is designed to provide accounting students with the basic book-keeping skills required to be able to prepare classified financial statements. The course provides the students with an understanding of the accrual accounting process from basic transaction analysis through to the completion of the accounting cycle. 
 
To assist in the understanding of the concepts identified, specific topics including retailing and inventory costing, non-current assets, and partnerships will be studied. Students will also be introduced to computerised accounting through a MYOB based practice set."
"01/01/2017","001956","A","Computer Systems UG","Computer Systems","3.00","3.00","3.00","M10","N","1","Information storage representation, Memory organisation and hierarchy, Processor fundamentals, assembler programming, assembler operation, subroutine calling mechanisms, linking/loading, Input-output and device controllers requirements for supporting an operating system and device drivers."
"01/01/2017","001958","A","Wine Pack & Qual Mgmt III","Wine Packaging and Quality Management III","3.00","3.00","3.00","M10","N","1","Science and technology of bottling and packaging systems including chemical and physical properties of packaging materials, principles of filling machinery, design and process control of wine filling/packaging systems.
Wine and food laws and commercial forces as quality standards. Taints and residues in grapes and wine as quality issues. Approaches and systems of quality management using the wine industry as a focus, including the development of corporate quality cultures, standards and specifications.  Visits will be made to commercial plants."
"01/01/2017","001962","A","French IB: Beg French","French IB: Beginners' French","3.00","3.00","3.00","M10","N","1","This course continues the intensive language training undertaken in French IA."
"01/01/2017","002072","A","Freshwater Ecology III","Freshwater Ecology III","3.00","3.00","3.00","M10","N","1","The course provides theoretical understanding and practical implications of the ecology and restoration of freshwater habitats. It distinguishes habitats of lakes, wetlands, streams and rivers by varying circulation types, nutrient cycles and food webs. Complementary practicals will be conducted in order to provide skills for the identification of algae, zooplankton and water plants as well as for monitoring, assessment and management of drinking water reservoirs, urban and floodplain wetlands, and rivers.
This course will include a field camp up to 5 days. Details will be provided at the start of the course."
"01/01/2017","002076","I","Principles of Macroeconomics I","Principles of Macroeconomics I","3.00","3.00","3.00","M10","N","1","This course provides an introduction to macroeconomic theory and policy in Australia. It provides a framework in which the interaction of labour, money, and goods and services markets can be developed, allowing students to understand the process by which the levels of economic activity, employment and rates of interest are jointly determined. The framework is then used to examine how the policies set by the central bank and the government affect the economy."
"01/01/2017","002094","A","Marine Ecology III","Marine Ecology III","3.00","3.00","3.00","M10","N","1","This course aims to provide an understanding of the patterns of abundance and diversity of marine plants and animals and the processes that structure these patterns. Emphasis is placed on the challenges in understanding the complexity of marine systems and the solutions to quantifying them. In addition, throughout the course students should gain an understanding of the use of coherent logical procedures and rigorous experimental design to provide practical evidence for the development of theory and solutions to environmental and conservation problems in coastal habitats. The habitats and organisms used to illustrate lectures are derived from ecological studies of subtidal rocky and coral reefs, intertidal rocky reefs, mangrove forests, salt marshes, seagrass meadows, urban structures and pelagic habitats. The field camp in the mid-semester break combines these components in a practical setting."
"01/01/2017","002110","A","German IB: Beg German","German IB: Beginners' German","3.00","3.00","3.00","M10","N","1","This second semester course is a sequel to German IA: Beginners' German. It continues the intensive language training undertaken in German IA. Aspects of German culture will again form an integral part of language instruction throughout the semester."
"01/01/2017","002126","A","Chinese IB","Chinese IB","3.00","3.00","3.00","M10","N","1","Chinese IB is a continuation of Chinese IA. It continues instruction and practice in the speaking, understanding, writing and reading of modern standard Chinese. Throughout the course, mastery of conversational skills will be reinforced through oral-aural practice and at the same time, increased emphasis will be placed on contemporary texts. By the end of the semester students will know around 400 Chinese characters and associated compounds."
"01/01/2017","002129","I","Conservation & Restoration III","Conservation and Restoration III","3.00","3.00","3.00","M10","N","1","This course will examine theoretical and practical aspects of conservation biology, ecological management and restoration of natural systems. The course will focus on terrestrial systems. It will cover the effects of introduced herbivores, carnivores, competitors, pathogens, vegetation clearance, habitat fragmentation, habitat degradation, disturbances (e.g. fire) and remedial actions (e.g. revegetation) on Australian flora, fauna and ecological processes (e.g. dry-land salinisation, pollination, gene flow, animal dispersal). Edge effects, corridors, succession, endangered species management, conservation genetics, abundant species management, biological and mechanical control of unwanted species, rehabilitation, reintroduction and translocation biology will also be covered.  Establishing adequate and effective monitoring programs, reserve design and risk assessment, as well as social and political factors in decision making will provide a practical element to the course. Students will be expected to conduct a small group research project on some current conservation or restoration issue as part of the course. 
This course will include 4-5 days of field work either as a series of day trips or as a field camp. Details will be provided at the start of the course."
"01/01/2017","002137","A","Stress Analysis & Design","Stress Analysis & Design","3.00","3.00","3.00","M10","N","1","Concept of stress and strain, characterisation of stress-strain curves and failure of metals, plastics and wood, Hooke's law in tension/compression and shear, axially loaded members, Saint-Venant's principle, non-linear deformation, statically indeterminate structures, thermal stresses, torsion of circular bars and tubes, bending, stresses in beams, combined loading, deflection of beams, buckling instability, analysis of stress and strain, Mohr's circle, generalized Hooke's law, strain energy, energy methods, elementary theories of plasticity and failure, intro to design of columns, shafts, pressure vessels, welded joints, fasteners and springs and Finite Element Analysis."
"01/01/2017","002183","A","Hons Maths/Stats Part 2","Hons Pure Mathematics & Statistics Part 2","24.00","24.00","12.00","GS5","Y","2","Students are required to take 5 courses and a research project in Pure Mathematics and Statistics as approved by the Head of the School of Mathematical Sciences."
"01/01/2017","002190","A","Honours Dentistry Part 2","Honours Dentistry Part 2","24.00","24.00","12.00","GS5","Y","2","Candidates may, with the approval of the Head of Department, enrol in the Honours Dentistry program after they have successfully completed  third year, or after they have obtained the degree of Bachelor of Dental Surgery or equivalent. Under certain circumstances, candidates who have obtained an degree in another Faculty may be admitted to an Honours program in Dentistry.
Candidates may choose as their principal area of study one of the current research thrusts of the Dental School. Candidates will be required to undertake on a full time basis for one year (or half-time if approved by the Dean], a program of study which may include essays, seminars, laboratory work, clinical work and a research project under the supervision of a member of the School. A candidate may be required to undertake such formal courses of study in related courses as are deemed desirable. Prospective candidates are advised to consult the Dean of the Dental School and staff members in the year preceding the honours year to discuss the area of proposed study.
ANAT SC 4000A/B Honours Anatomical Sciences 
BIOCHEM 4000A/B Honours Biochemistry 
DENT 4100A/B Honours Dentistry 
GENETICS 4005A/B Honours Genetics 
PATHOL 4000A/B Honours Pathology 
PHARM 4000A/B Pharmacology"
"01/01/2017","002193","A","Adaptive Business Intel PG","Adaptive Business Intelligence","3.00","3.00","3.00","M10","N","1","Adaptive Business Intelligence (ABI) is the discipline of using prediction and optimization techniques to build self-learning ""decisioning"" systems. ABI fundamentals: philosophy of ABI, methodology, techniques, adaptive real-life software, and applications of ABI systems. Optimization techniques: Local Hill-Climber, Stochastic Hill-Climber, Simulated Annealing, Tabu Search, Evolutionary Algorithm, Constraint Handling, Multi-Objective Optimization, Adaptability. Prediction techniques: Data Preparation, Fuzzy Logic, Neural Networks, Genetic Programming, Ant Systems, Swarm Intelligence, Agent-Based Modelling, Co-Evolution, Adaptability. Hybrid Systems: Hybrid Prediction Systems, Hybrid Optimization Systems, Adaptability. Real-life ABI case studies."
"01/01/2017","002255","A","Fourier Tech & Applications","Fourier Techniques & Applications","3.00","3.00","3.00","M10","N","1","An introduction to statistical and Fourier techniques, with applications to experimental design and data analysis."
"01/01/2017","002314","A","Optimisation III","Optimisation III","3.00","3.00","3.00","M10","N","1","Most problems in life are optimisation problems: what is the best design for a racing kayak, how do you get the best return on your investments, what is the best use of your time in swot vac, what is the shortest route across town for an emergency vehicle, what are the optimal release rates from a dam for environmental flows in a river?  Mathematical formulations of such optimisation problems might contain one or many independent variables. There may or may not be constraints on those variables. There is always, though, an objective: minimise or maximise some function of the variable(s), subject to the constraints.  This course will examine nonlinear mathematical formulations, and will concentrate on convex optimisation problems. Many modern optimisation methods in areas such as design of communication networks, finance, etc, rely on the classical underpinnings covered in this course. 

Topics covered are: One-dimensional (line) searches: direct methods, polynomial approximation, methods for differentiable functions; Theory of convex and nonconvex functions relevant to optimisation; Multivariable unconstrained optimisation, in particular, higher-order Newton's Method, steepest descent methods, conjugate gradient methods; Constrained optimisation, including Kuhn-Tucker conditions and the Gradient Projection Method."
"01/01/2017","002328","A","Computer Networks & Applns UG","Computer Networks & Applications","3.00","3.00","3.00","M10","N","1","Introduction to networks and digital communications with a focus on  Internet protocols:  Application layer architectures (client/server, peer-to-peer) and protocols (HTTP-web, SMTP-mail, etc), Transport  layer operation: (reliable transport, congestion and flow  control, UDP, TCP); Network layer operation - (routing, addressing, IPv4 and  IPv6), Data Link layer operation (error detection/correction, access control, Ethernet, 802.11, PPP),  Layer 2/3  protocols (ATM and MPLS); selected current topics such as: security,  multimedia protocols, Quality of Service, mobility, wireless  networking, emerging protocols, network management"
"01/01/2017","002365","A","Business Performance Improvemt","Business Performance Improvement","3.00","3.00","3.00","M10","N","1","This course provides students with the knowledge and skill-set required to formulate and implement sustainable improvement strategies aimed at improving business performance and overall competitiveness. It provides a practical appreciation and understanding of the various improvement strategies and techniques that have come to prominence during the past few decades, including Total Quality Management, Business Process Re-engineering and more recently Six Sigma and Lean Thinking. It considers these approaches and their use against the broader agenda of how to achieve sustainable improvement and the development of sustainable sources of competitive advantage.
In particular, students are introduced to the idea of 'process thinking' and related concepts such as cost of quality, complexity, variation etc. i.e. considering the business and identifying improvement opportunities by viewing it from a process perspective. Students are also introduced to methodologies for business review and diagnosis - similar to the approaches used by the major management consulting firms.
The later stages of the subject considers implementation issues arising with business performance improvement strategies to ensure that organisations are able to learn and achieve cumulative improvements over time, rather than temporary 'fad chasing' as is often the case."
"01/01/2017","002379","A","Topics in Soil & Land Systems","Topics in Soil and Land Systems","3.00","3.00","3.00","M10","N","1","This course may be offered from time to time as a means of examining current topics in soil science, soil management and land evaluation that are related to the research and teaching interests of staff and visiting scientists. Candidates should consult the Head of the Discipline for topics currently available."
"01/01/2017","002419","A","Intermed Micro IID","Intermediate Microeconomics IID","3.00","3.00","3.00","M10","N","1","This postgraduate course is an introduction to intermediate-level microeconomic theory and analysis.  Students will develop their abilities to analyse, evaluate and synthesize economic information.  The skills  developed in this course will help students make informed, responsible and critically discriminating judgements about current economic and social policy issues.  Intermediate Microeconomics IID will put an emphasis on the mastery of theoretical concepts and analytical tools that will form a strong basis of further study in economics courses.  Real world applications will be provided where possible, and further readings will be suggested to expand the ability of students to relate the basic theoretical concepts to applied contexts."
"01/01/2017","002427","A","M.App.Ma.Proj.","Masters Applied Mathematics Project","6.00","6.00","6.00","M10","N","1","Further advanced work in Applied Mathematics as determined by the Head of School."
"01/01/2017","002493","A","Hons.Des.Studies Part 2","Honours Design Studies Part 2","24.00","24.00","12.00","GS5","Y","2","Students will be required to undertake supervised research in one or two advanced topics, thereby developing a thorough understanding of appropriate research techniques. The outcome of this research will be submitted in the form of a substantial essay or research report including a survey of the literature relevant to the topic(s) chosen. The range of topics to be offered in any year will depend on staff availability.
Topics expected to be offered from time to time include:
Architectural & Landscape Architectural History
Australian Architectural & Landscape Architectural History
Australian Urban Design History & Practice
Computer-Aided Design
Computer Applications in Architecture, Landscape Architecture or Urban Design
Conservation in the Built Environment
Criticism and Architecture & Landscape Architecture
Cross-Cultural Architectural & Landscape Architectural Topics
Dry-land Landscape Design
Heritage Conservation & Cultural Landscapes
Islamic Architecture & Garden Design
Issues in Sustainable Architecture & Urban Design
Plants in Design
Project Management
South East Asian Architecture & Landscape Architecture
Theories in Modern Architecture & Landscape Architecture
Thermal Design of Buildings
Urban Design Histories & Theories
Urban Design in Islamic or South East Asian Places
Urban Ecology.
Subject to the approval of the Head of the School of Architecture, Landscape Architecture and Urban Design and with the agreement of the other Departments/Schools/Faculties concerned, a course equivalent to 12 units at Level IV taught in another department/ school/faculty may be taken as part of this program."
"01/01/2017","002520","A","French IA: Beg French","French IA: Beginners' French","3.00","3.00","3.00","M10","N","1","This course introduces students to the language and culture of contemporary France. In addition to intensive language training in the four basic skills - listening, speaking, reading and writing - various aspects of French society and culture will be introduced through audio and video extracts and short texts. The emphasis throughout will be on communicative skills, both oral and written."
"01/01/2017","002580","A","Stabil & Clarific III","Stabilisation and Clarification III","3.00","3.00","3.00","M10","N","1","Principles and practices of wine clarification and stabilisation. Protein, tartrate, metal, colour oxidative, and microbiological stability and stability testing of wine. Wine clarification by means of settling, centrifugation, filtration and fining."
"01/01/2017","002589","A","Business in East-Asia","Business in East-Asia","3.00","3.00","3.00","M10","N","1","Business in East Asia (plus India) seeks to acquaint participants with some of the local characteristics both of the business environment and of business itself, in what is the world's most commercially dynamic region.  This course content includes the unique government-business relationships which characterise the region and the often equally unique inter-business relationships which exist.  It also notes, country-by-country, elements of local business custom, together with some characteristics of marketing and marketing communications in the various economies of the region.  Overall, East Asia remains a region in which both personal bonds and government-business links count for more than in the ""textbook"" economies of North America and Western Europe.  To the extent that time permits, this course seeks to give perspective to local business developments by examining them in the local political and business context."
"01/01/2017","002599","A","Mol. & Struct. Biol.III","Molecular and Structural Biology III","6.00","6.00","6.00","M10","N","1","This course aims to extend the discussions of protein structure and function presented in the Biochemistry Level II courses and to use this knowledge to gain an understanding of some of the essential processes of molecular biology. The course covers two principle themes: Protein Structure and Function: topics include - structure and function of different classes of proteins, protein folding, targeted protein degradation, the development of new therapies, molecular interactions and recognition. The Control of Gene Expression: topics include; genetic circuits and synthetic biology; chromatin structure and its remodelling during transcription; the recruitment and assembly of transcription factors and the RNA polymerase complex on a gene promoter; artificially manipulating gene expression with the use of ""designer genes"" and synthetic transcription factors; eukaryote mRNA synthesis, processing, modification, stability and translation, and manipulation of these processes to effect selective gene expression. This course combines lectures and tutorials with cutting edge research-based practical exercises to complement the lecture material."
"01/01/2017","002618","A","Specialised Programming PG","Specialised Programming","3.00","3.00","3.00","M10","N","1","Computational problem-solving with a focus on group learning and practice. Lecture topics cover general solution categories including: brute-force, divide and conquer, dynamic programming, greedy algorithms and search techniques"
"01/01/2017","002651","A","Modern Heuristic Methods PG","Modern Heuristic Methods","3.00","3.00","3.00","M10","N","1","The course will cover problem-solving methods, in particular those arising out of evolutionary computing of value in solving ubiquitous optimisation problems (e.g. travelling salesman type problems).
AI Search methods. Hill-climbing. Simulated Annealing & Tabu search. Evolution Programming. Handling constrained problems. Parameter control in Evolution Methods. Genetic Algorithms, mutation, crossover. Aspects of Neural Networks and Fuzzy Systems."
"01/01/2017","002684","A","Statistics Topic A","Statistics Topic A","3.00","3.00","3.00","M10","N","1","Please contact the School of Mathematical Sciences for further details, or view course information on the School of Mathematical Sciences web site at http://www.maths.adelaide.edu.au"
"01/01/2017","002695","A","Advanced Astrophysics","Advanced Astrophysics","3.00","3.00","3.00","M10","N","1","A survey of the Universe at all scales and wave lengths/energies. Studies of the interstellar medium and magnetic fields. Cosmic ray acceleration and propagation; pulsars, gamma-ray astrophysics; radio and x-ray astronomy."
"01/01/2017","002747","A","Resource & Env Eco PG","Resource & Environmental Economics PG","3.00","3.00","3.00","M10","N","1","This course studies the application of economic analysis to the management of the environmental and natural resources. We will consider the role of economic theory in understanding and solving environmental and resource problems and discuss empirical examinations of the theory. Policy implications will be addressed with particular attention paid to analysing practical applications of the theories in different social, economic and political environments. A key assessment component will involve students undertaking a practical analysis of a resource or environmental policy of relevance to themselves or country of origin.  Topics that may be covered include: air and water pollution, sustainability, renewable and non-renewable resource management, and the impact of trade."
"01/01/2017","002775","A","Spec Topics Comp Sci A PG","Special Topics in Computer Science A","3.00","3.00","3.00","M10","N","1","Topics as approved by Head of School"
"01/01/2017","002854","A","Project F (AW) Part 2","Project F (AW) Part 2","12.00","12.00","6.00","M10","Y","2","Projects comprise some or all of laboratory experiments, field trials, case studies, and critical literature reviews, and normally culminate in a seminar and a substantial written report.  Topics for projects are chosen in consultation with the Project Supervisor.  This course is the second half of a project that is completed over 2 semesters."
"01/01/2017","002909","A","Japanese IA","Japanese IA","3.00","3.00","3.00","M10","N","1","Japanese IA: Beginner is designed for students with little or no previous knowledge of Japanese. If you already know hiragana, katakana and approximately 60 basic kanji, you are advised to enrol in Japanese IB. This course offers instruction and practice in the four skills of reading, writing, listening and speaking, while introducing the basic grammar and vocabulary of modern Japanese as well as the basic writing system, hiragana, katakana and beginners kanji.  In classes, emphasis will be placed on developing students' basic communication skills in both spoken and written Japanese to build a solid foundation at the beginner level. The aims of the course are: i) to enhance and consolidate the introductory grammar; ii) to expand knowledge and use of vocabulary in both conversational and written contexts; iii) to develop communication skills/strategies; iv) to become familiar with hiragana, katakana and basic kanji; v) to become efficient and independent language learners.

If you have completed Year 12 SACE Beginners/Continuers Japanese at high school or any equivalent study overseas, you are not eligible to enrol in this course.

Entry criteria for students with Year 12 SACE grades can be found at: https://arts.adelaide.edu.au/asian/study/language/"
