"Eff_Date","Course_ID","Offer_Nbr","Acad_Group","Subject","Catalogue","Approved","Campus","Sch_Print","Cat_Print","Print","Acad_Org","Career","Schedule_Course","Band_ID","Rq_Group","Discp_Grp_Cd","Field_of_Ed_Cd"
"01/01/2017","002651","1","MATH","COMP SCI","7009","A","NTRCE","Y","N","Y","COMPSCI","PGCW","N","2","","0503","020119"
"01/01/2017","002684","1","MATH","STATS","7004","A","NTRCE","Y","Y","Y","MATHSCI","PGCW","Y","2","","0501","010103"
"01/01/2017","002695","1","SCI","PHYSICS","7002","A","NTRCE","Y","Y","Y","SCHPHYSCI","PGCW","Y","2","","0403","010301"
"01/01/2017","002747","1","ECO","ECON","7016","A","NTRCE","Y","Y","Y","ECONOMICSS","PGCW","Y","3","","0901","091901"
"01/01/2017","002775","1","MATH","COMP SCI","7010","A","NTRCE","Y","N","Y","COMPSCI","PGCW","N","2","","0503","020303"
"01/01/2017","002854","1","SCI","AGRIC","7004BWT","A","WAITE","Y","Y","Y","SCHAG&WINE","PGCW","Y","2","","1101","050101"
"01/01/2017","002909","1","ARTS","JAPN","1001","A","NTRCE","Y","Y","Y","ASIANSTD","UGRD","Y","1","","0105","091515"
"01/01/2017","002934","1","SCI","PHYSICS","1005","A","NTRCE","Y","Y","Y","SCHPHYSCI","UGRD","N","1","","0403","099999"
"01/01/2017","002952","1","SCI","PHYSICS","7902","A","NTRCE","Y","N","Y","SCHPHYSCI","PGCW","N","2","","0403","010301"
"01/01/2017","003004","1","SCI","AGRIC","7010WT","A","WAITE","Y","N","Y","SCHAG&WINE","PGCW","N","2","","1101","050100"
"01/01/2017","003004","2","SCI","AGRIC","7010RW","A","ROSE","Y","N","Y","SCHAG&WINE","PGCW","N","2","","1101","050100"
"01/01/2017","003019","1","MATH","MATHS","4000B","A","NTRCE","Y","N","Y","MATHSCI","UGRD","N","2","","0501","010101"
"01/01/2017","003127","1","ENG","C&ENVENG","3012","A","NTRCE","Y","Y","Y","CIV&ENVENG","UGRD","Y","2","","0702","030911"
"01/01/2017","003152","1","MATH","APP MTH","4015B","A","NTRCE","Y","N","Y","MATHSCI","UGRD","N","2","","0501","010101"
"01/01/2017","003181","1","MED","PUB HLTH","7113","A","NTRCE","Y","Y","Y","PUBLICHLTH","PGCW","Y","2","","0809","061303"
"01/01/2017","003192","1","MED","MEDIC ST","5000BHO","A","HOSP","Y","Y","Y","MEDICINE","UGRD","Y","3","","0806","060100"
"01/01/2017","003223","1","CON","MUSIC","   3B","A","NTRCE","N","N","N","CASM","NAWD","N","1","","0605","100101"
"01/01/2017","003240","1","MED","NURSING","6116HO","A","HOSP","Y","Y","Y","CLINNURSE","PGCW","N","5A","","0803","060309"
"01/01/2017","003241","1","MED","MEDIC ST","2101B","A","NTRCE","Y","Y","Y","MEDICINE","UGRD","Y","3","","0806","060100"
"01/01/2017","003246","1","MATH","PURE MTH","3002","A","NTRCE","Y","Y","Y","MATHSCI","UGRD","Y","2","","0501","010101"
"01/01/2017","003249","1","MED","MEDIC ST","2102B","A","NTRCE","Y","Y","Y","MEDICINE","UGRD","Y","3","","0806","060100"
"01/01/2017","003253","1","MED","MEDIC ST","2103B","A","NTRCE","Y","Y","Y","MEDICINE","UGRD","Y","3","","0806","060100"
"01/01/2017","003280","1","MATH","COMP SCI","7012","A","NTRCE","Y","N","Y","COMPSCI","PGCW","N","2","","0503","020199"
"01/01/2017","003283","1","SCI","SOIL&WAT","1000WT","A","WAITE","Y","Y","Y","SCHAG&WINE","UGRD","Y","2","","1101","010709"
"01/01/2017","003288","1","SCI","FOOD SC","1001","A","NTRCE","Y","Y","Y","SCHAG&WINE","UGRD","N","2","","1199","019905"
"01/01/2017","003288","2","SCI","FOOD SC","1001WT","A","WAITE","Y","Y","Y","SCHAG&WINE","UGRD","Y","2","","1199","019905"
"01/01/2017","003334","1","WY","ABORIG","0006","A","NTRCE","Y","Y","Y","WILTOYERLO","NAWD","Y","1","","0104","090311"
"01/01/2017","003348","1","SCI","PHYSICS","7025","A","NTRCE","Y","Y","Y","SCHPHYSCI","PGCW","Y","2","","0403","010301"
"01/01/2017","003401","1","MATH","PURE MTH","3003","A","NTRCE","Y","Y","Y","MATHSCI","UGRD","N","2","","0501","010101"
"01/01/2017","003455","1","WY","ABORIG","0007","A","NTRCE","Y","Y","Y","WILTOYERLO","NAWD","Y","5A","","0104","079900"
"01/01/2017","003498","1","ARTS","LING","5502B","A","NTRCE","Y","Y","Y","LINGUISTIC","PGCW","Y","1","","0105","091521"
"01/01/2017","003522","2","SCI","AGRIC","7011RW","A","ROSE","Y","N","Y","SCHAG&WINE","PGCW","N","2","","1101","050100"
"01/01/2017","003522","1","SCI","AGRIC","7011WT","A","WAITE","Y","N","Y","SCHAG&WINE","PGCW","N","2","","1101","050100"
"01/01/2017","003552","1","CON","MUSIC","2011B","A","NTRCE","Y","Y","Y","CASM","UGRD","N","1","","0605","100101"
"01/01/2017","003564","1","BUS","MANAGEMT","7022","A","NTRCE","Y","Y","Y","BUSSCH","PGCW","Y","3","002451","0904","080301"
"01/01/2017","003564","2","BUS","MANAGEMT","7022NA","A","NGA","Y","N","Y","BUSSCH","PGCW","N","3","002190","0904","080301"
"01/01/2017","003565","2","ECO","ECON","1002BR","A","BRAD","Y","N","Y","ECONOMICSS","NAWD","N","3","","0901","091901"
"01/01/2017","003565","1","ECO","ECON","1002","A","NTRCE","Y","Y","Y","ECONOMICSS","UGRD","Y","3","","0901","091901"
"01/01/2017","003593","1","DENT","DENT","8005HO","A","HOSP","Y","Y","Y","DENTAL","PGCW","N","3","","0807","060701"
"01/01/2017","003643","3","SCI","PHYSICS","1200BR","A","BRAD","Y","N","Y","SCHPHYSCI","NAWD","Y","2","","0403","010301"
"01/01/2017","003643","1","SCI","PHYSICS","1200","A","NTRCE","Y","Y","Y","SCHPHYSCI","UGRD","Y","2","","0403","010301"
"01/01/2017","003643","4","SCI","PHYSICS","1200ND","A","NTRCE","Y","Y","Y","SCHPHYSCI","UGRD","Y","2","","0403","010301"
"01/01/2017","003647","1","MED","NURSING","5103HO","A","HOSP","Y","Y","Y","CLINNURSE","PGCW","N","5A","","0803","060309"
"01/01/2017","003660","1","ECO","ECON","7115","A","NTRCE","Y","Y","Y","ECONOMICSS","PGCW","Y","3","","0901","091901"
"01/01/2017","003675","2","MATH","COMP SCI","7015NA","A","NGA","Y","N","Y","COMPSCI","PGCW","Y","2","","0503","020103"
"01/01/2017","003675","1","MATH","COMP SCI","7015","A","NTRCE","Y","Y","Y","COMPSCI","PGCW","Y","2","","0503","020103"
"01/01/2017","003681","1","SCI","PHYSICS","7014","A","NTRCE","Y","Y","Y","SCHPHYSCI","PGCW","Y","2","","0403","010301"
"01/01/2017","003718","1","ENG","C&ENVENG","3001","A","NTRCE","Y","Y","Y","CIV&ENVENG","UGRD","Y","2","","0702","030903"
"01/01/2017","003762","1","MED","MEDIC ST","1102B","A","NTRCE","Y","Y","Y","MEDICINE","UGRD","Y","3","","0806","060100"
"01/01/2017","003808","1","ARTS","ENGL","1101","A","NTRCE","Y","Y","Y","ENGLISH","UGRD","Y","1","","0101","091523"
"01/01/2017","003823","1","ARTS","ENGL","1105","A","NTRCE","Y","Y","Y","ENGLISH","UGRD","Y","1","","0101","100701"
"01/01/2017","003826","2","BUS","ACCTING","1002BR","A","BRAD","Y","N","Y","BUSSCH","NAWD","Y","3","","0902","080101"
"01/01/2017","003826","3","BUS","ACCTING","1002NA","A","NGA","Y","Y","Y","BUSSCH","UGRD","Y","3","","0902","080101"
"01/01/2017","003826","1","BUS","ACCTING","1002","A","NTRCE","Y","Y","Y","BUSSCH","UGRD","Y","3","000763","0902","080101"
"01/01/2017","003891","1","MED","PUB HLTH","7100","A","NTRCE","Y","Y","Y","PUBLICHLTH","PGCW","Y","2","","0809","061399"
"01/01/2017","003902","1","ARTS","JAPN","1002","A","NTRCE","Y","Y","Y","ASIANSTD","UGRD","Y","1","","0105","091515"
"01/01/2017","003907","1","SCI","PHYSICS","7012","A","NTRCE","Y","N","Y","SCHPHYSCI","PGCW","N","2","","0403","010301"
"01/01/2017","003916","1","CON","MUSIC","1007B","A","NTRCE","Y","Y","Y","CASM","UGRD","N","1","","0605","099999"
"01/01/2017","003927","1","SCI","PHYSICS","7009","A","NTRCE","Y","Y","Y","SCHPHYSCI","PGCW","Y","2","","0403","010301"
"01/01/2017","003935","1","LAW","LAW","7007","A","NTRCE","Y","Y","Y","LAWS","PGCW","N","3","000150","0906","090913"
"01/01/2017","003966","1","MED","NURSING","5102HO","A","HOSP","Y","Y","Y","CLINNURSE","PGCW","N","5A","","0803","060301"
"01/01/2017","003987","1","CON","MUSIC","   4B","A","NTRCE","N","N","N","CASM","NAWD","N","1","","0605","100101"
"01/01/2017","003988","1","MED","OB&GYNAE","3000","A","NTRCE","Y","Y","Y","PAED&REPRO","UGRD","Y","3","","0806","060107"
"01/01/2017","003989","1","MATH","STATS","3001","A","NTRCE","Y","Y","Y","MATHSCI","UGRD","Y","2","","0501","010103"
"01/01/2017","004013","1","MATH","STATS","7008","A","NTRCE","Y","Y","Y","MATHSCI","PGCW","Y","2","","0501","010103"
"01/01/2017","004025","1","BUS","MANAGEMT","7025","A","NTRCE","N","N","Y","BUSSCH","PGCW","N","3","002193","0904","080301"
"01/01/2017","004025","2","BUS","MANAGEMT","7025NA","A","NGA","Y","Y","Y","BUSSCH","PGCW","N","3","002193","0904","080301"
"01/01/2017","004049","1","ENG","C&ENVENG","2063","A","NTRCE","Y","N","Y","CIV&ENVENG","UGRD","N","2","","0702","030999"
"01/01/2017","004049","2","ENG","C&ENVENG","3063","A","NTRCE","Y","N","Y","CIV&ENVENG","UGRD","N","2","","0702","030999"
"01/01/2017","004049","3","ENG","C&ENVENG","4063","A","NTRCE","Y","N","Y","CIV&ENVENG","UGRD","N","2","","0702","030999"
"01/01/2017","004055","1","DENT","DENT","8092BHO","A","HOSP","Y","Y","Y","DENTAL","PGCW","N","3","","0807","060701"
"01/01/2017","004078","1","SCI","ENV BIOL","3011","A","NTRCE","Y","Y","Y","SCHBIOSCI","UGRD","Y","2","","0401","010915"
"01/01/2017","004094","1","MATH","PURE MTH","3007","A","NTRCE","Y","Y","Y","MATHSCI","UGRD","Y","2","","0501","010101"
"01/01/2017","004108","1","LAW","LAW","7009","A","NTRCE","Y","Y","Y","LAWS","PGCW","N","3","000150","0906","090901"
"01/01/2017","004145","1","SCI","PHYSICS","1002","A","NTRCE","Y","Y","Y","SCHPHYSCI","UGRD","Y","2","","0403","010303"
"01/01/2017","004234","1","SCI","SOIL&WAT","3004WT","A","WAITE","Y","Y","Y","SCHAG&WINE","UGRD","Y","2","","1101","050999"
"01/01/2017","004236","1","SCI","MICRO","3000","A","NTRCE","Y","Y","Y","SCHBIOSCI","UGRD","Y","2","002140","0401","010911"
"01/01/2017","004242","1","ARTS","FREN","1012","A","NTRCE","Y","Y","Y","FRENCHSTUD","UGRD","Y","1","","0105","091505"
"01/01/2017","004267","1","ARTS","ASIA","5900","A","NTRCE","N","N","N","ASIANSTD","PGCW","N","1","","0105","090399"
"01/01/2017","004286","1","MED","PUB HLTH","7104","A","NTRCE","Y","Y","Y","PUBLICHLTH","PGCW","Y","2","","0809","061311"
"01/01/2017","004309","1","ECO","ECON","1004","A","NTRCE","Y","Y","Y","ECONOMICSS","UGRD","N","3","","0901","091901"
"01/01/2017","004309","3","ECO","ECON","1004BR","A","BRAD","Y","N","Y","ECONOMICSS","NAWD","N","3","","0901","091901"
"01/01/2017","004309","4","ECO","ECON","1004NA","A","NGA","Y","Y","Y","ECONOMICSS","UGRD","N","3","","0901","091901"
"01/01/2017","004344","1","CON","MUSIC","   5B","A","NTRCE","N","N","N","CASM","NAWD","N","1","","0605","100101"
"01/01/2017","004413","1","SCI","PHYSICS","3006","A","NTRCE","Y","Y","Y","SCHPHYSCI","UGRD","Y","2","","0403","010301"
"01/01/2017","004435","1","ARTS","LING","1101","A","NTRCE","Y","Y","Y","LINGUISTIC","UGRD","Y","1","","0105","091521"
"01/01/2017","004439","1","ARTS","LING","1102","A","NTRCE","Y","Y","Y","LINGUISTIC","UGRD","Y","1","","0105","091521"
"01/01/2017","004447","2","MATH","APP MTH","3001","A","NTRCE","Y","Y","Y","MATHSCI","UGRD","Y","2","","0501","010101"
"01/01/2017","004449","1","SCI","SOIL&WAT","3005WT","A","WAITE","Y","Y","Y","SCHAG&WINE","UGRD","Y","2","000489","1101","010709"
"01/01/2017","004468","1","MATH","COMP SCI","3004","A","NTRCE","Y","Y","Y","COMPSCI","UGRD","Y","2","","0503","020117"
"01/01/2017","004468","2","MATH","COMP SCI","3004NA","A","NGA","Y","N","Y","COMPSCI","UGRD","Y","2","","0503","020117"
"01/01/2017","004476","1","SCI","PHYSICS","7010","A","NTRCE","Y","Y","Y","SCHPHYSCI","PGCW","Y","2","","0403","010301"
"01/01/2017","004514","1","DENT","DENT","8032BHO","A","HOSP","Y","Y","Y","DENTAL","PGCW","N","3","","0807","060701"
"01/01/2017","004578","1","SCI","PHYSICS","7008","A","NTRCE","Y","Y","Y","SCHPHYSCI","PGCW","Y","2","","0403","010301"
"01/01/2017","004587","1","ECO","ECON","7032","A","NTRCE","Y","Y","Y","ECONOMICSS","PGCW","Y","3","","0901","091901"
"01/01/2017","004631","1","SCI","FOOD SC","3021RG","A","REGPK","Y","Y","Y","SCHAG&WINE","UGRD","Y","2","","1199","019905"
"01/01/2017","004684","1","SCI","AGRIBUS","3015WT","A","WAITE","Y","Y","Y","SCHAG&WINE","UGRD","Y","3","","1101","080301"
"01/01/2017","004693","1","SCI","PHYSICS","7900","A","NTRCE","Y","Y","Y","SCHPHYSCI","PGCW","N","2","","0403","010301"
"01/01/2017","004705","2","BUS","MANAGEMT","7031NA","A","NGA","Y","Y","Y","BUSSCH","PGCW","N","3","002451","0904","080301"
"01/01/2017","004705","3","BUS","MANAGEMT","7031","A","NTRCE","Y","Y","Y","BUSSCH","PGCW","Y","3","002451","0904","080301"
"01/01/2017","004724","1","ECO","ECON","7102","A","NTRCE","Y","Y","Y","ECONOMICSS","PGCW","Y","3","","0901","091901"
"01/01/2017","004774","1","SCI","SOIL&WAT","3007WT","A","WAITE","Y","Y","Y","SCHBIOSCI","UGRD","Y","2","002036","1101","050999"
"01/01/2017","004785","1","SCI","ANIML SC","3043RW","A","ROSE","Y","Y","Y","SCHVETSCI","UGRD","Y","2","","1102","050105"
"01/01/2017","004806","1","ECO","ECON","7036","A","NTRCE","Y","Y","Y","ECONOMICSS","PGCW","Y","3","","0901","091901"
"01/01/2017","004806","2","ECO","ECON","7036OL","A","OL","Y","Y","Y","ECONOMICSS","PGCW","N","3","002210","0901","091901"
"01/01/2017","004853","1","MATH","STATS","3003","A","NTRCE","Y","Y","Y","MATHSCI","UGRD","Y","2","","0501","010103"
"01/01/2017","004880","2","SCI","OENOLOGY","3016WA","A","UWA","Y","N","Y","SCINCESFO","UGRD","N","3","000382","1101","080317"
"01/01/2017","004880","1","SCI","OENOLOGY","3016WT","A","WAITE","Y","Y","Y","SCHAG&WINE","UGRD","Y","3","002185","1101","080317"
"01/01/2017","004945","1","SCI","ANIML SC","7004RW","A","ROSE","Y","N","Y","SCHVETSCI","PGCW","N","2","","1102","050105"
"01/01/2017","004949","1","MED","ANAT SC","3101","A","NTRCE","Y","Y","Y","MEDSCI","UGRD","Y","2","","0401","010913"
"01/01/2017","004967","1","ENG","C&ENVENG","3005","A","NTRCE","Y","Y","Y","CIV&ENVENG","UGRD","Y","2","","0702","030903"
"01/01/2017","004971","1","ARTS","INDO","3004","A","NTRCE","Y","Y","Y","ASIANSTD","UGRD","Y","1","","0105","091513"
"01/01/2017","004979","1","CON","MUSIC","1009B","A","NTRCE","Y","Y","Y","CASM","UGRD","N","1","","0605","100101"
"01/01/2017","005011","1","CON","MUSIC","1010B","A","NTRCE","Y","Y","Y","CASM","UGRD","N","1","","0605","100101"
"01/01/2017","005049","1","ARTS","LING","5501","A","NTRCE","Y","Y","Y","LINGUISTIC","PGCW","Y","1","","0105","091521"
"01/01/2017","005058","1","ENG","CHEM ENG","4014","A","NTRCE","Y","Y","Y","CHEMENG","UGRD","Y","2","","0701","030301"
"01/01/2017","005090","1","BUS","MANAGEMT","7033","A","NTRCE","N","N","Y","BUSSCH","PGCW","N","3","","0904","080301"
"01/01/2017","005104","1","MED","PSYCHOL","1001","A","NTRCE","Y","Y","Y","PSYCHOLOGY","UGRD","Y","1","","0201","090701"
"01/01/2017","005139","1","MED","NURSING","7002","A","NTRCE","Y","Y","Y","CLINNURSE","PGCW","Y","5A","","0803","060301"
"01/01/2017","005141","1","MATH","COMP SCI","3005","A","NTRCE","Y","Y","Y","COMPSCI","UGRD","Y","2","","0503","020199"
"01/01/2017","005141","2","MATH","COMP SCI","3005NA","A","NGA","Y","N","Y","COMPSCI","UGRD","N","2","","0503","020199"
"01/01/2017","005156","1","SCI","PHYSICS","7013","A","NTRCE","Y","Y","Y","SCHPHYSCI","PGCW","Y","2","","0403","010301"
"01/01/2017","005174","1","MATH","PURE MTH","4003B","A","NTRCE","Y","N","Y","MATHSCI","UGRD","N","2","","0501","010101"
"01/01/2017","005215","1","SCI","AGRIC","7013WT","A","WAITE","Y","N","Y","SCHAG&WINE","PGCW","Y","2","","1101","050100"
"01/01/2017","005215","2","SCI","AGRIC","7013RW","A","ROSE","Y","N","Y","SCHAG&WINE","PGCW","N","2","","1101","050100"
"01/01/2017","005224","1","SCI","ENV BIOL","3003","A","NTRCE","Y","Y","Y","SCHBIOSCI","UGRD","N","2","","0401","010915"
"01/01/2017","005230","1","MATH","PURE MTH","3009","A","NTRCE","Y","Y","Y","MATHSCI","UGRD","Y","2","","0501","010101"
"01/01/2017","005234","1","CON","MUSIC","1011B","A","NTRCE","Y","Y","Y","CASM","UGRD","N","1","","0605","100101"
